k,seed,run_uid,scheme,first_bin,final_bin,first_n_posts,final_n_posts,delta_dominant_share,delta_topic_entropy_norm,delta_effective_topics,delta_topic_hhi,delta_topic_hhi_norm,internal_family_label,display_family_label,model_family,model_display,roster_name,condition,scale,n_agents,run_id,source_path
8,11,1ea6f508435eb25b25efb24b58a175a5f1aa86cd,fixed_15m,0-15m,45-60m,104,24,0.09615384615384615,-0.20100762381081946,-0.5188957690867564,0.179733727810651,0.20540997464074395,base_model_as_tool,Base model as tool,olmo-3-32b-base,OLMo 3 32B Base,OLMo 3 32B Base,mag25,n10,10,bm-mag25-n10-run01-gemini-3.1-flash-lite-preview-20260408,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-base/mag25
8,11,1ea6f508435eb25b25efb24b58a175a5f1aa86cd,normalized_quartile,Q1,Q4,103,28,0.09708737864077666,-0.2024847406693352,-0.5235683485775176,0.18135545291733424,0.20726337476266765,base_model_as_tool,Base model as tool,olmo-3-32b-base,OLMo 3 32B Base,OLMo 3 32B Base,mag25,n10,10,bm-mag25-n10-run01-gemini-3.1-flash-lite-preview-20260408,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-base/mag25
8,11,1fe60ca12bde7999c8575bb980380ece20ae5bb7,fixed_15m,0-15m,45-60m,301,54,0.5044912021656207,-0.4023189493107662,-1.572969910390483,0.5297429015740929,0.6054204589418204,single_model_final,Single-model final runs,google/gemini-3.1-flash-lite-preview,Gemini Flash Lite,Gemini Flash Lite,dom-agi,n30,30,ec-dom-agi-n30-run01,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-30/ec-dom-agi-n30-run01
8,11,1fe60ca12bde7999c8575bb980380ece20ae5bb7,normalized_quartile,Q1,Q4,309,55,0.5255075022065313,-0.44688316721305754,-1.6784595334579002,0.5661973750824555,0.6470827143799491,single_model_final,Single-model final runs,google/gemini-3.1-flash-lite-preview,Gemini Flash Lite,Gemini Flash Lite,dom-agi,n30,30,ec-dom-agi-n30-run01,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-30/ec-dom-agi-n30-run01
8,11,22cd2e17435a6586911c5f4461a0251b32de1073,fixed_15m,0-15m,45-60m,294,374,0.16590272472625422,-0.1737462031193026,-0.5926729709671723,0.24170995871486634,0.2762399528169901,single_model_final,Single-model final runs,google/gemini-3.1-flash-lite-preview,Gemini Flash Lite,Gemini Flash Lite,mag25,n30,30,ec-mag25-n30-run01,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-30/ec-mag25-n30-run01
8,11,22cd2e17435a6586911c5f4461a0251b32de1073,normalized_quartile,Q1,Q4,315,384,0.16867559523809517,-0.18450844486924806,-0.6114900925318432,0.2521336808016029,0.28815277805897477,single_model_final,Single-model final runs,google/gemini-3.1-flash-lite-preview,Gemini Flash Lite,Gemini Flash Lite,mag25,n30,30,ec-mag25-n30-run01,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-30/ec-mag25-n30-run01
8,11,283d2b449ecf220fd6c980136dccc3ad39cd3707,fixed_15m,0-15m,45-60m,306,375,0.20883660130718962,-0.2603945561145011,-1.2414402258322261,0.24979922183775488,0.2854848249574341,single_model_final,Single-model final runs,google/gemini-3.1-flash-lite-preview,Gemini Flash Lite,Gemini Flash Lite,mag5,n30,30,ec-mag5-n30-run01,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-30/ec-mag5-n30-run01
8,11,283d2b449ecf220fd6c980136dccc3ad39cd3707,normalized_quartile,Q1,Q4,322,355,0.19895897121861594,-0.25606518455455113,-1.2130878012384252,0.2440137712316045,0.278872881407548,single_model_final,Single-model final runs,google/gemini-3.1-flash-lite-preview,Gemini Flash Lite,Gemini Flash Lite,mag5,n30,30,ec-mag5-n30-run01,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-30/ec-mag5-n30-run01
8,11,2e3181acc1de0142801f6e9d663a1d0a3eb1185b,fixed_15m,0-15m,45-60m,277,251,0.2714485020207976,-0.2047091872762229,-2.0275158098425003,0.15844780536783892,0.18108320613467307,single_model_final,Single-model final runs,gpt-5,GPT-5,GPT-5,dom-agi,n20,20,ec-dom-agi-n20-run01,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-20/ec-dom-agi-n20-run01
8,11,2e3181acc1de0142801f6e9d663a1d0a3eb1185b,normalized_quartile,Q1,Q4,274,261,0.26285762228374865,-0.20192393613693105,-2.010783935884585,0.15386707808728492,0.17584808924261133,single_model_final,Single-model final runs,gpt-5,GPT-5,GPT-5,dom-agi,n20,20,ec-dom-agi-n20-run01,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-20/ec-dom-agi-n20-run01
