internal_family_label,model_display,scheme,k,seed,n_runs,delta_dominant_share_mean,delta_dominant_share_median,delta_dominant_share_n_negative,delta_dominant_share_n_positive,delta_dominant_share_sign_p,delta_topic_entropy_norm_mean,delta_topic_entropy_norm_median,delta_topic_entropy_norm_n_negative,delta_topic_entropy_norm_n_positive,delta_topic_entropy_norm_sign_p,delta_effective_topics_mean,delta_effective_topics_median,delta_effective_topics_n_negative,delta_effective_topics_n_positive,delta_effective_topics_sign_p,delta_topic_hhi_mean,delta_topic_hhi_median,delta_topic_hhi_n_negative,delta_topic_hhi_n_positive,delta_topic_hhi_sign_p,delta_topic_hhi_norm_mean,delta_topic_hhi_norm_median,delta_topic_hhi_norm_n_negative,delta_topic_hhi_norm_n_positive,delta_topic_hhi_norm_sign_p
base_model_as_tool,OLMo 3 32B Base,fixed_15m,16,11,6,0.1224316566050437,0.12934645999162125,2,4,0.6875,-0.18329383045642766,-0.16388829366130567,5,1,0.21875,-0.9707630090239968,-0.7798694167868477,5,1,0.21875,0.19583224484457093,0.2071660914913569,2,4,0.6875,0.20888772783420895,0.2209771642574474,2,4,0.6875
base_model_as_tool,OLMo 3 32B Base,fixed_15m,16,22,6,0.22245912480138194,0.17920565097984456,1,5,0.21875,-0.21838557570185937,-0.13434458206404606,5,1,0.21875,-1.357142330709898,-0.8118349313682239,5,1,0.21875,0.2674631088151717,0.18257905426895402,1,5,0.21875,0.28529398273618317,0.19475099122021763,1,5,0.21875
base_model_as_tool,OLMo 3 32B Base,fixed_15m,16,33,6,0.06548109658066098,0.15132171105185582,2,4,0.6875,-0.15504136402274707,-0.22832098855196406,5,1,0.21875,-0.822840341128357,-0.9558139483320034,5,1,0.21875,0.1460240540750933,0.2296899546373952,1,5,0.21875,0.1557589910134329,0.2450026182798882,1,5,0.21875
base_model_as_tool,OLMo 3 32B Base,fixed_15m,16,44,6,0.16421047352929793,0.14861169296653168,2,4,0.6875,-0.1872550838300534,-0.10979407998914553,5,1,0.21875,-1.1565601209787628,-0.6094110556674135,5,1,0.21875,0.2159437358596622,0.166186897580569,2,4,0.6875,0.23033998491697302,0.17726602408594028,2,4,0.6875
base_model_as_tool,OLMo 3 32B Base,fixed_15m,16,55,6,0.06579247599573436,0.1327386770935158,2,4,0.6875,-0.13839534084887972,-0.12368111339766835,4,2,0.6875,-0.714111799458449,-0.6355775249739904,4,2,0.6875,0.1361279308530733,0.16052773757956632,2,4,0.6875,0.14520312624327816,0.1712295867515374,2,4,0.6875
base_model_as_tool,OLMo 3 32B Base,fixed_15m,24,11,6,0.17455043056736816,0.13814993250477117,2,4,0.6875,-0.1835377430938787,-0.09074542008892578,5,1,0.21875,-1.4160121907853271,-0.667508755878128,5,1,0.21875,0.23484891982501233,0.14873513837576574,2,4,0.6875,0.24505974242609985,0.15520188352253816,2,4,0.6875
base_model_as_tool,OLMo 3 32B Base,fixed_15m,24,22,6,0.09404960501278213,0.17646511194898296,2,4,0.6875,-0.15321260982496898,-0.16829110906081918,4,2,0.6875,-0.9793764137003477,-1.083110586065021,4,2,0.6875,0.18432983295897354,0.25303604861897777,2,4,0.6875,0.19234417352240718,0.26403761595023767,2,4,0.6875
base_model_as_tool,OLMo 3 32B Base,fixed_15m,24,33,6,0.06145127732084025,0.18478967269289853,2,4,0.6875,-0.12738167123323002,-0.19812015495682375,4,2,0.6875,-0.7361090475778976,-1.034871779856387,4,2,0.6875,0.15042471130086388,0.3020075083403763,2,4,0.6875,0.15696491614003186,0.3151382695725666,2,4,0.6875
base_model_as_tool,OLMo 3 32B Base,fixed_15m,24,44,6,0.18810871239736118,0.1373236978075688,2,4,0.6875,-0.20489386521564987,-0.13996837171150023,5,1,0.21875,-1.4912347145139169,-0.8846563828289923,5,1,0.21875,0.2501493371564987,0.20560941671172497,2,4,0.6875,0.26102539529373775,0.2145489565687565,2,4,0.6875
base_model_as_tool,OLMo 3 32B Base,fixed_15m,24,55,6,0.1918936477241885,0.14244402550854163,1,5,0.21875,-0.1911965573024925,-0.09586910006595917,5,1,0.21875,-1.4582001642117575,-0.5077096005916983,5,1,0.21875,0.2544933017980477,0.15097099237925898,1,5,0.21875,0.26555822796318024,0.15753494856966155,1,5,0.21875
