group,model_family,condition,scale,n_full_nonseed_cell,weighted_novelty,weighted_semantic_repetition,weighted_narrative_convergence,weighted_groupthink,weighted_specificity,weighted_evidence_grounding,weighted_epistemic_caution,weighted_template_rigidity,weighted_source_citation_quality,n_judged_cell
entropy-collapse,gpt-5,mag25,n30,1589,2.0625,3.9375,4.8125,4.5625,3.875,2.625,2.9375,4.5,1.0,16
entropy-collapse,gpt-5,mag25,unknown,544,2.4375,3.0,3.625,3.25,3.1875,1.75,3.0,3.125,1.125,16
entropy-collapse,gpt-5,mag5,n20,885,1.5,4.5,4.8125,4.625,3.25,1.125,2.4375,4.625,1.0,16
entropy-collapse,gpt-5,mag5,n30,1580,1.5625,4.3125,4.8125,4.5,3.625,1.625,2.3125,4.375,1.0,16
entropy-collapse,gpt-5,mag5,unknown,481,1.75,4.125,4.8125,4.6875,2.8125,1.25,2.625,3.75,1.0,16
entropy-collapse,moonshotai/kimi-k2.5,dom-agi,n10,612,1.6875,4.25,4.75,4.375,1.5625,1.125,2.25,3.4375,1.0,16
entropy-collapse,moonshotai/kimi-k2.5,dom-tech,n10,627,2.125,3.8125,4.625,4.3125,2.125,1.25,2.75,3.0625,1.0,16
entropy-collapse,moonshotai/kimi-k2.5,mag0,n10,1052,1.5,4.375,4.75,4.4375,1.4375,1.0625,2.375,3.375,1.0,16
entropy-collapse,moonshotai/kimi-k2.5,mag1,n10,455,1.9375,3.8125,4.8125,4.5,1.9375,1.125,2.4375,3.0625,1.0,16
entropy-collapse,moonshotai/kimi-k2.5,mag25,n10,673,1.5625,4.125,4.875,4.75,1.4375,1.0,1.6875,3.6875,1.0,16
entropy-collapse,moonshotai/kimi-k2.5,mag5,n10,650,2.0,3.75,4.375,3.9375,2.125,1.3125,2.8125,2.8125,1.0,16
entropy-collapse,nvidia/nemotron-3-super-120b-a12b:free,dom-agi,n10,1,2.0,2.0,2.0,1.0,2.0,1.0,4.0,2.0,1.0,1
entropy-collapse,nvidia/nemotron-3-super-120b-a12b:free,dom-tech,n10,2,2.0,2.5,3.5,2.5,2.0,1.0,3.5,2.5,1.0,2
entropy-collapse,nvidia/nemotron-3-super-120b-a12b:free,mag0,n1,10,1.0,3.25,3.0,2.25,1.0,1.0,2.5,3.0,1.0,4
entropy-collapse,nvidia/nemotron-3-super-120b-a12b:free,mag0,n10,1,2.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,1.0,1
entropy-collapse,nvidia/nemotron-3-super-120b-a12b:free,mag1,n10,121,1.625,4.0,4.375,3.9375,1.625,1.0625,2.4375,3.5,1.0,16
entropy-collapse,nvidia/nemotron-3-super-120b-a12b:free,mag25,n10,3,2.0,2.3333333333333335,3.0,2.3333333333333335,2.0,1.0,3.6666666666666665,1.6666666666666667,1.0,3
entropy-collapse,nvidia/nemotron-3-super-120b-a12b:free,mag5,n10,1,2.0,2.0,3.0,2.0,2.0,1.0,4.0,2.0,1.0,1
entropy-collapse,z-ai/glm-5,dom-agi,n10,417,3.0,2.6875,3.75,2.9375,2.6875,1.75,3.9375,2.0625,1.0,16
entropy-collapse,z-ai/glm-5,dom-tech,n10,253,2.6875,3.125,4.0625,3.375,2.6875,1.6875,3.6875,2.125,1.0625,16
entropy-collapse,z-ai/glm-5,mag0,n10,317,2.875,2.875,3.625,2.875,2.8125,1.875,2.8125,2.0625,1.0625,16
entropy-collapse,z-ai/glm-5,mag1,n10,266,2.75,2.625,3.75,2.8125,2.5,1.25,4.0,2.0625,1.0,16
entropy-collapse,z-ai/glm-5,mag25,n10,251,2.625,3.1875,3.8125,3.0,2.625,1.4375,3.375,2.5625,1.0,16
entropy-collapse,z-ai/glm-5,mag5,n10,228,2.3125,3.5,4.4375,3.9375,2.25,1.1875,2.9375,2.6875,1.0,16
frontier/mixed-model,mixed,mag25,n10,732,2.4375,3.25,4.1875,3.3125,2.875,2.1875,3.125,2.75,1.5625,16
obsession,google/gemini-3.1-flash-lite-preview,dom-agi,n10,4,3.25,2.0,3.0,2.0,3.25,1.75,2.25,1.5,1.0,4
obsession,google/gemini-3.1-flash-lite-preview,mag0,n10,2,3.5,1.5,2.0,1.5,3.0,1.5,4.0,1.0,1.0,2
obsession,google/gemini-3.1-flash-lite-preview,mag1,n10,1,4.0,1.0,2.0,1.0,4.0,3.0,5.0,1.0,1.0,1
obsession,google/gemini-3.1-flash-lite-preview,mag25,n10,106,2.3333333333333335,3.5,4.5,4.0,3.1666666666666665,1.6666666666666667,1.5,2.6666666666666665,1.0,6
obsession,google/gemini-3.1-flash-lite-preview,mag5,n10,1,4.0,1.0,2.0,1.0,4.0,3.0,4.0,1.0,1.0,1
obsession,gpt-5,dom-agi,n10,495,3.0,2.6875,3.625,2.625,4.375,2.625,2.75,3.9375,1.375,16
obsession,gpt-5,dom-tech,n10,595,2.9375,2.375,3.25,2.5,3.875,2.125,2.4375,3.4375,1.0,16
obsession,gpt-5,mag0,n10,604,2.5,3.3125,4.1875,3.375,4.625,2.6875,2.5,4.3125,1.25,16
obsession,gpt-5,mag1,n10,725,2.5625,3.1875,4.125,3.1875,4.1875,2.5,2.375,4.4375,1.0,16
obsession,gpt-5,mag25,n10,808,3.1875,2.5625,3.5,2.5625,4.5,2.875,2.875,3.875,1.0,16
obsession,gpt-5,mag5,n10,562,2.625,3.0625,3.9375,3.0,4.0625,2.125,2.75,4.1875,1.0,16
source-citation,gpt-5,dom-agi,n10,370,2.5,3.0625,3.75,2.9375,3.3125,2.0,2.5,3.4375,1.0,16
source-citation,gpt-5,dom-tech,n10,490,1.875,3.8125,4.1875,3.625,3.125,1.3125,2.125,3.8125,1.0,16
source-citation,gpt-5,mag25,n10,447,2.125,3.5625,4.375,3.8125,3.0,1.5,3.0625,3.375,1.125,16
source-citation,gpt-5,mag5,n10,392,1.8125,4.0625,4.6875,4.375,3.1875,1.1875,2.375,4.5625,1.0,16
