accuracy,baseline,condition,lift_over_baseline,n_classes,n_test,n_train,scale,segment,target
0.6341463414634146,0.06818181818181818,dom-agi,0.5659645232815964,20,41,176,n20,early,agent
0.6136363636363636,0.057803468208092484,dom-agi,0.5558328954282712,19,44,173,n20,late,agent
0.5670103092783505,0.06258148631029987,dom-tech,0.5044288229680506,20,194,767,n20,overall,agent
0.5135135135135135,0.06451612903225806,dom-tech,0.4489973844812554,20,37,155,n20,early,agent
0.5405405405405406,0.06451612903225806,dom-tech,0.4760244115082825,18,37,155,n20,late,agent
0.8490048043925875,0.29490478641276374,ALL,0.5541000179798238,6,1457,5829,n20,overall,condition
0.7724137931034483,0.2944206008583691,ALL,0.4779931922450792,6,290,1165,n20,early,condition
0.8503401360544217,0.295221843003413,ALL,0.5551182930510088,6,294,1172,n20,late,condition
0.5510835913312694,0.03798449612403101,mag0,0.5130990952072384,30,323,1290,n30,overall,agent
0.43548387096774194,0.04230769230769231,mag0,0.3931761786600496,30,62,260,n30,early,agent
0.5285714285714286,0.043137254901960784,mag0,0.4854341736694678,28,70,255,n30,late,agent
0.5514018691588785,0.044151820294345466,mag1,0.507250048864533,30,321,1291,n30,overall,agent
0.4666666666666667,0.04980842911877394,mag1,0.41685823754789275,29,60,261,n30,early,agent
0.5303030303030303,0.03875968992248062,mag1,0.49154334038054964,30,66,258,n30,late,agent
0.5759493670886076,0.038765822784810125,mag5,0.5371835443037974,30,316,1264,n30,overall,agent
0.4915254237288136,0.038910505836575876,mag5,0.45261491789223773,29,59,257,n30,early,agent
0.59375,0.04365079365079365,mag5,0.5500992063492064,29,64,252,n30,late,agent
0.7241379310344828,0.049606299212598425,mag25,0.6745316318218844,30,319,1270,n30,overall,agent
0.6166666666666667,0.038910505836575876,mag25,0.5777561608300908,30,60,257,n30,early,agent
0.78125,0.07782101167315175,mag25,0.7034289883268483,28,64,257,n30,late,agent
0.7028753993610224,0.03977724741447892,dom-agi,0.6630981519465434,30,313,1257,n30,overall,agent
0.46551724137931033,0.0390625,dom-agi,0.42645474137931033,30,58,256,n30,early,agent
0.7941176470588235,0.061224489795918366,dom-agi,0.7328931572629052,29,68,245,n30,late,agent
0.592057761732852,0.042228212039532795,dom-tech,0.5498295496933192,29,277,1113,n30,overall,agent
0.5576923076923077,0.044444444444444446,dom-tech,0.5132478632478633,28,52,225,n30,early,agent
0.6071428571428571,0.06306306306306306,dom-tech,0.544079794079794,25,56,222,n30,late,agent
0.8653126670229824,0.172367717797969,ALL,0.6929449492250134,6,1871,7484,n30,overall,condition
0.8310991957104558,0.17245989304812834,ALL,0.6586393026623274,6,373,1496,n30,early,condition
0.875,0.17298735861610112,ALL,0.7020126413838988,6,376,1503,n30,late,condition
