metric,metric_label,model_display,condition,condition_label,n_runs,raw_delta,collapse_score,family
distinct5_cumulative,Cumulative Distinct-5,OLMo 3 32B Instruct,mag0,Empty feed,1,-0.0021537553242805,0.0021537553242805,base_model_as_tool
distinct5_cumulative,Cumulative Distinct-5,OLMo 3 32B Instruct,mag1,1 conspiracy seed,1,-0.0147240051347882,0.0147240051347882,base_model_as_tool
distinct5_cumulative,Cumulative Distinct-5,OLMo 3 32B Instruct,mag5,5 conspiracy seeds,1,-0.0397776969769044,0.0397776969769044,base_model_as_tool
distinct5_cumulative,Cumulative Distinct-5,OLMo 3 32B Instruct,mag25,25 conspiracy seeds,1,-0.0122982039380854,0.0122982039380854,base_model_as_tool
distinct5_cumulative,Cumulative Distinct-5,OLMo 3 32B Instruct,dom-agi,25 AGI seeds,1,-0.0018222417465333,0.0018222417465333,base_model_as_tool
distinct5_cumulative,Cumulative Distinct-5,OLMo 3 32B Instruct,dom-tech,25 tech seeds,1,-0.007288988024433,0.007288988024433,base_model_as_tool
distinct5_cumulative,Cumulative Distinct-5,Qwen 3.5 35B A3B Base,mag0,Empty feed,1,0.0013668458743978,-0.0013668458743978,base_model_as_tool
distinct5_cumulative,Cumulative Distinct-5,Qwen 3.5 35B A3B Base,mag1,1 conspiracy seed,1,-0.0109606922707539,0.0109606922707539,base_model_as_tool
distinct5_cumulative,Cumulative Distinct-5,Qwen 3.5 35B A3B Base,mag5,5 conspiracy seeds,1,0.0095428688418048,-0.0095428688418048,base_model_as_tool
distinct5_cumulative,Cumulative Distinct-5,Qwen 3.5 35B A3B Base,mag25,25 conspiracy seeds,1,-0.0029924643669092,0.0029924643669092,base_model_as_tool
distinct5_cumulative,Cumulative Distinct-5,Qwen 3.5 35B A3B Base,dom-agi,25 AGI seeds,1,-0.001754885468619,0.001754885468619,base_model_as_tool
distinct5_cumulative,Cumulative Distinct-5,Qwen 3.5 35B A3B Base,dom-tech,25 tech seeds,1,0.0121668182864463,-0.0121668182864463,base_model_as_tool
distinct5_cumulative,Cumulative Distinct-5,Mixed roster (Qwen 3.5 27B),mag0,Empty feed,1,-0.0366207349411297,0.0366207349411297,mixed_model_roster
distinct5_cumulative,Cumulative Distinct-5,Mixed roster (Qwen 3.5 27B),mag1,1 conspiracy seed,1,-0.0291596006422877,0.0291596006422877,mixed_model_roster
distinct5_cumulative,Cumulative Distinct-5,Mixed roster (Qwen 3.5 27B),mag5,5 conspiracy seeds,1,-0.0599342922299935,0.0599342922299935,mixed_model_roster
distinct5_cumulative,Cumulative Distinct-5,Mixed roster (Qwen 3.5 27B),mag25,25 conspiracy seeds,1,-0.0748536736143068,0.0748536736143068,mixed_model_roster
distinct5_cumulative,Cumulative Distinct-5,Mixed roster (Qwen 3.5 27B),dom-agi,25 AGI seeds,1,-0.0742609576098102,0.0742609576098102,mixed_model_roster
distinct5_cumulative,Cumulative Distinct-5,Mixed roster (Qwen 3.5 27B),dom-tech,25 tech seeds,1,-0.0815492978210378,0.0815492978210378,mixed_model_roster
vendi,Vendi semantic diversity,GPT-5,mag0,Empty feed,1,-1.1404020503223815,1.1404020503223815,single_model_final
vendi,Vendi semantic diversity,GPT-5,mag1,1 conspiracy seed,1,-0.1423733411313463,0.1423733411313463,single_model_final
vendi,Vendi semantic diversity,GPT-5,mag5,5 conspiracy seeds,1,-0.5784855464713381,0.5784855464713381,single_model_final
