scale,condition,run_name,post_id,author_name,minutes_elapsed,bin_idx,in_family,top_topic,top_similarity,anchor_x,anchor_y,sim_evidence,sim_testing,sim_ownership,sim_time,sim_risk
n10,mag0,bm-mag0-n10,45676532-a27e-4b43-8325-d214b05850bf,agent_kappa,4.743,0,0,ownership,0.558885,0.416948,0.299076,0.550813,0.46404,0.558885,0.520416,0.547673
n10,mag0,bm-mag0-n10,50720355-ec35-4d7a-9a47-070a09a8791f,agent_theta,4.77,0,0,evidence,0.829032,-0.776989,0.517642,0.829032,0.691391,0.782233,0.778914,0.794741
n10,mag0,bm-mag0-n10,62cbcd8d-08a3-48bd-97a9-0d794237e7bc,agent_eta,4.876,0,0,evidence,0.79054,-0.827294,0.54157,0.79054,0.654528,0.732451,0.73409,0.743202
n10,mag0,bm-mag0-n10,8b8248fa-a3b9-4941-b362-e168a59c7af7,agent_beta,5.295,0,0,evidence,0.767793,-0.84089,0.546442,0.767793,0.582656,0.705458,0.68974,0.710416
n10,mag0,bm-mag0-n10,1d4f8bc1-7a34-4a69-987a-03245717cee4,agent_delta,5.644,0,0,evidence,0.829399,-0.800494,0.531339,0.829399,0.666004,0.785337,0.76543,0.788645
n10,mag0,bm-mag0-n10,bf938b84-d123-4dcd-8dda-55c927ada8bc,agent_epsilon,5.663,0,0,evidence,0.782073,-0.762766,0.505016,0.782073,0.621669,0.733283,0.728561,0.750893
n10,mag0,bm-mag0-n10,52037c2a-76dd-43b3-ab9e-9c43d84b772e,agent_kappa,5.728,0,0,ownership,0.634264,0.450805,0.470432,0.622489,0.491799,0.634264,0.555986,0.579494
n10,mag0,bm-mag0-n10,807f1774-096b-4bc0-9ddf-61322e449e89,agent_eta,5.737,0,0,evidence,0.844688,-0.844146,0.548754,0.844688,0.684496,0.774001,0.78144,0.780984
n10,mag0,bm-mag0-n10,1bce0529-5de6-46c5-844b-05d49d00db89,agent_zeta,5.759,0,0,ownership,0.654641,0.05585,0.484081,0.653571,0.523289,0.654641,0.588872,0.617729
n10,mag0,bm-mag0-n10,f69c4618-e228-4a73-935b-ed443d25020d,agent_iota,5.881,0,0,ownership,0.703839,0.594423,0.427448,0.686859,0.593593,0.703839,0.653268,0.673763
n10,mag0,bm-mag0-n10,e0998074-2745-41e6-b53a-2d431b62fc28,agent_beta,6.364,0,0,ownership,0.728135,0.429911,0.393071,0.71806,0.625151,0.728135,0.688962,0.707949
n10,mag0,bm-mag0-n10,0f6cd43f-3fc8-4cf7-b8ff-d96042b91796,agent_delta,6.526,0,0,ownership,0.728699,0.78246,0.437697,0.696225,0.603193,0.728699,0.679048,0.689822
n10,mag0,bm-mag0-n10,b2ca0d06-de6d-442e-a6ea-74a1ff1ec827,agent_epsilon,6.655,0,0,risk,0.751982,0.542106,0.052473,0.743232,0.653319,0.751286,0.715884,0.751982
n10,mag0,bm-mag0-n10,2ae77d67-efb4-42ce-90e8-112288ce5ab5,agent_eta,6.69,0,0,ownership,0.722065,0.786991,0.332573,0.689701,0.603585,0.722065,0.676305,0.703089
n10,mag0,bm-mag0-n10,1dc4937d-3d51-4ac5-b646-f12c62c29def,agent_kappa,6.697,0,0,ownership,0.608116,0.491197,0.444406,0.595269,0.484955,0.608116,0.534789,0.574688
n10,mag0,bm-mag0-n10,706397a6-6be8-4960-bf5f-9a7f42db0251,agent_theta,6.74,0,0,ownership,0.661327,0.818005,0.445026,0.621801,0.506894,0.661327,0.577508,0.611907
n10,mag0,bm-mag0-n10,7fd9c76c-f2ae-4149-ba38-654f13605180,agent_iota,6.796,0,0,ownership,0.690179,0.833475,0.449113,0.643929,0.530833,0.690179,0.593354,0.627567
n10,mag0,bm-mag0-n10,7836e7ec-3d49-4fb8-a09d-2a17917e95fb,agent_beta,7.288,0,0,ownership,0.544078,0.656551,0.442649,0.523705,0.453044,0.544078,0.480795,0.506054
n10,mag1,bm-mag1-n10,3154ed51-bde4-4197-a6d5-41c7c04363a4,agent_beta,0.0,0,0,testing,0.518357,-0.843938,-0.44074,0.420313,0.518357,0.429288,0.468068,0.432224
n10,mag1,bm-mag1-n10,84de7317-16ab-492d-b645-a4aac14d57c4,agent_zeta,0.435,0,0,testing,0.49675,-0.836467,-0.432301,0.423887,0.49675,0.416108,0.452733,0.432601
n10,mag1,bm-mag1-n10,f63bdd1b-b1f6-419f-9b06-50b1ab396acb,agent_alpha,0.449,0,0,testing,0.509363,-0.51548,-0.055489,0.436444,0.509363,0.465894,0.500721,0.483207
n10,mag1,bm-mag1-n10,653eb515-bbc4-40bb-bfaa-33c38419a895,agent_gamma,0.464,0,0,testing,0.673779,-0.849042,-0.448499,0.525025,0.673779,0.545664,0.605405,0.56782
n10,mag1,bm-mag1-n10,ad58f627-30cc-487e-95f3-d9acba413915,agent_eta,0.478,0,0,testing,0.621728,-0.823525,-0.407354,0.562464,0.621728,0.537903,0.586498,0.553714
n10,mag1,bm-mag1-n10,52d5b080-a2f4-4a4c-ad81-6fdc7ba25466,agent_theta,0.518,0,0,testing,0.53529,-0.838382,-0.433268,0.450993,0.53529,0.445347,0.491005,0.464395
n10,mag1,bm-mag1-n10,c08402e2-0db8-45c1-b978-e1a6e08feb7b,agent_iota,0.539,0,0,testing,0.663076,-0.846924,-0.445473,0.512968,0.663076,0.535514,0.605802,0.577129
n10,mag1,bm-mag1-n10,0c79399e-7016-4571-8be6-ed991283b081,agent_delta,0.556,0,0,testing,0.557296,-0.839517,-0.433772,0.46878,0.557296,0.469269,0.512691,0.476606
n10,mag1,bm-mag1-n10,ea99fd33-dedb-4f16-96eb-2b343c93dffb,agent_beta,0.669,0,0,testing,0.646606,-0.843086,-0.439111,0.548848,0.646606,0.541681,0.598063,0.560097
n10,mag1,bm-mag1-n10,e7c06481-f8d6-4ad0-82e1-d216f139dcd5,agent_kappa,0.777,0,0,testing,0.619911,-0.848645,-0.448591,0.480558,0.619911,0.516277,0.550891,0.537513
n10,mag1,bm-mag1-n10,be6f4ddc-16aa-48a3-a320-34a12c85ad38,agent_epsilon,0.954,0,1,testing,0.64061,-0.834314,-0.425085,0.53586,0.64061,0.531687,0.6005,0.560173
