run_uid,scheme,internal_family_label,delta_effective_text,delta_dominant_share_text,delta_effective_frame,delta_dominant_share_frame
6c3d862b9c7533fbff62a8485b176b48545cb764,fixed_15m,single_model_final,-1.7013308620716368,0.0687449826063687,-2.4052324219811876,0.1068102756221568
6c3d862b9c7533fbff62a8485b176b48545cb764,normalized_quartile,single_model_final,-1.6856393056842558,0.0661081879751024,-2.437061422024783,0.1063226651868987
6d3e2805af6653babf2fedb85ca20790cd830d58,fixed_15m,single_model_final,-2.064892322214011,0.2033096926713947,-2.0213463504906306,-0.0354609929078014
6d3e2805af6653babf2fedb85ca20790cd830d58,normalized_quartile,single_model_final,-1.440145823158793,0.1162790697674418,-1.1199200340094473,0.0310077519379844
6d6c7fa4a015ec0f2ab213125964e1f85605497c,fixed_15m,single_model_final,-1.3385574360119437,0.2290748898678414,-2.741304403416465,0.3355589207048458
6d6c7fa4a015ec0f2ab213125964e1f85605497c,normalized_quartile,single_model_final,-1.344657148595703,0.2300884955752212,-2.6538020465919403,0.3105390185036203
81e379c3d806dcd84af9f89395a169434aa666d3,fixed_15m,single_model_final,-0.4477398861736446,-0.0181553878510453,-1.038518791992777,-0.1254484721019423
81e379c3d806dcd84af9f89395a169434aa666d3,normalized_quartile,single_model_final,-0.3763675693225603,-0.0225618795202371,-0.7022622413887074,0.0006026982914813
852f26a14ae81926ea3105598ca9785c486f6611,fixed_15m,single_model_final,-0.2036705165029624,-0.0607360265633646,-1.840378359793428,0.3494050913115661
852f26a14ae81926ea3105598ca9785c486f6611,normalized_quartile,single_model_final,-0.1848518380591102,-0.2214819629509262,-0.403424616101943,0.1601559961000975
866d31f54fbc68c2091d70997f7700a6004d77e8,fixed_15m,mixed_model_roster,-0.2740250341109416,-0.1018648018648018,-0.1639458089364023,0.0283216783216783
866d31f54fbc68c2091d70997f7700a6004d77e8,normalized_quartile,mixed_model_roster,-0.2327513407967831,-0.1292913732394366,0.0094223833250994,0.008362676056338
8a8045fdf42b22a115f7baa118c7b6dd4c767b75,normalized_quartile,obsession_prompting,-0.8017220358101373,0.0595238095238095,-2.8640901885427352,0.1510989010989011
8d3b70c1e7d5a7d507f97703aebe1d336a1c17e8,fixed_15m,mixed_model_roster,-0.6047281124559758,0.0274725274725274,0.2082682266876716,-0.0516483516483516
8d3b70c1e7d5a7d507f97703aebe1d336a1c17e8,normalized_quartile,mixed_model_roster,-0.4470070033709712,0.0005457238637249,0.3184683260865411,-0.039759881499961
92d7e428272f4ac978a0baea7895710d9e3e5c92,fixed_15m,single_model_final,-2.6974531873323486,0.2234803877162786,-4.026683338604874,0.2714013950538998
92d7e428272f4ac978a0baea7895710d9e3e5c92,normalized_quartile,single_model_final,-2.7809151452991667,0.2490956072351421,-4.143025344233091,0.3051679586563308
9f77ea357569395e2a48f10902ae9e4a14b77f4a,fixed_15m,single_model_final,-0.3599763224691275,-0.0338235294117647,0.1880116488933643,0.0167956656346748
9f77ea357569395e2a48f10902ae9e4a14b77f4a,normalized_quartile,single_model_final,-0.4992006038558387,0.0428774639300955,0.4266266647199783,-0.0472803630698367
a16100736f741b548f67e5c4cb59febadb038fb6,fixed_15m,single_model_final,1.0769105794793978,-0.2491883116883116,2.3990464747708984,-0.1563852813852814
a16100736f741b548f67e5c4cb59febadb038fb6,normalized_quartile,single_model_final,1.322690852702758,-0.3216206984886005,1.7344886289514605,-0.1344462471180941
a4205cf68c020cde9babaeb76661e33cc86191e8,normalized_quartile,obsession_prompting,0.2129145804594161,0.0109075043630017,-2.0856171914076667,0.0894415357766143
a67c72b10e243c3cb1cc64235c83a876b68f4af6,fixed_15m,single_model_final,-0.0997779630346027,0.1957084720680725,-1.4073064818479546,0.2071772105068442
a67c72b10e243c3cb1cc64235c83a876b68f4af6,normalized_quartile,single_model_final,-0.0417274747674327,0.1770816425904885,-1.4750533209247356,0.2275604609641292
b068c4711834243dbb5129c3f6e17813ea019027,fixed_15m,single_model_final,-1.0980385912505275,0.1708169506334643,0.1527016135416179,-0.0283966797728265
b068c4711834243dbb5129c3f6e17813ea019027,normalized_quartile,single_model_final,-0.7163693105194653,0.0922222222222222,0.3153046118572948,-0.0855555555555556
b274a426924c6f3f234fcd104f728d07dcc04a03,fixed_15m,single_model_final,-0.1508644511868819,0.0161192716069757,0.4235257310208746,-0.0402431644385762
b274a426924c6f3f234fcd104f728d07dcc04a03,normalized_quartile,single_model_final,-0.1489603653750304,0.0114795918367346,0.3412918558909101,-0.0418367346938775
b7fe33911b2613a99c1eaed241b2bacfe46af515,fixed_15m,single_model_final,-1.2937576584692525,0.2463542679370017,-2.153540441716406,0.3263659342796033
b7fe33911b2613a99c1eaed241b2bacfe46af515,normalized_quartile,single_model_final,-1.3251820883604148,0.2546660769570986,-2.029886212805632,0.2775762936753649
ba7cbda7d93ee100ff681fa1fea063e28750fba8,fixed_15m,base_model_as_tool,3.3507296400735083,-0.2784324472458208,-2.1176770586359397,-0.0405590572759659
ba7cbda7d93ee100ff681fa1fea063e28750fba8,normalized_quartile,base_model_as_tool,3.5124120331070467,-0.2738743196437407,-2.0820232970488566,-0.0645719940623453
bc19d8fdf4a7fe00f0c24d267590e3efec58a8b0,fixed_15m,single_model_final,0.213338252183628,0.02558206381144,-0.7039104639017788,0.1714573153204944
bc19d8fdf4a7fe00f0c24d267590e3efec58a8b0,normalized_quartile,single_model_final,0.1558547106268406,0.0698595146871008,-0.3649767021339642,0.1296296296296296
be3cc4472a58a0005e16432801fb120a461f3a19,fixed_15m,single_model_final,0.112784611280039,-0.1574749537982687,-1.3492928140435962,0.2145705670654605
be3cc4472a58a0005e16432801fb120a461f3a19,normalized_quartile,single_model_final,-0.0008819769775336,-0.1977019663586827,-1.2695632754634851,-0.0045013030087657
bfa4cd3f4504f42d76f95b422da94d5454e0f2a7,fixed_15m,single_model_final,-1.9840894060484129,0.2897465437788018,-3.7828206105797983,0.3502304147465437
bfa4cd3f4504f42d76f95b422da94d5454e0f2a7,normalized_quartile,single_model_final,-2.0376039011859497,0.3021091811414392,-3.774004359171823,0.3491315136476426
c08e706949d81c0b83e96d9fe873f8bffc9be73c,fixed_15m,single_model_final,0.2713782994274658,-0.0126925403694914,-1.2921899899433296,0.080634278002699
c08e706949d81c0b83e96d9fe873f8bffc9be73c,normalized_quartile,single_model_final,0.2066335896754094,-0.0036581196581196,-1.3624836899434918,0.0783589743589743
cf837cf7deed86e257b81e16c4e576b697457233,fixed_15m,single_model_final,-1.1756600737115974,0.1501416622609026,-0.2733734714960185,-0.091300988246777
cf837cf7deed86e257b81e16c4e576b697457233,normalized_quartile,single_model_final,-1.1604346882425718,0.1536807387862797,-0.2953250970917915,-0.0953100263852242
d055f0cea2ba847f5466e52b06efe723b94eaf85,fixed_15m,mixed_model_roster,-0.1004758239817285,-0.0418790467006475,2.145002987490077,-0.1326629012260641
d055f0cea2ba847f5466e52b06efe723b94eaf85,normalized_quartile,mixed_model_roster,-0.0387235735275748,-0.0586080586080586,2.0235137607866713,-0.1318681318681319
d3df6a84dd4d3b70708eb96a0f10bba44185c1d2,fixed_15m,single_model_final,-1.0615143960263682,0.0161498564209869,-1.786405447707022,0.0434521291988513
d3df6a84dd4d3b70708eb96a0f10bba44185c1d2,normalized_quartile,single_model_final,-1.0236874355035377,-0.0340609479428536,-1.6553794827961594,0.0528849101722975
d5d7b1a2572406b60ace3bd23d4cc7d8f2012e7e,fixed_15m,base_model_as_tool,-0.5938987388763044,0.1346695645174273,-2.000229447728896,0.1105208081783788
d5d7b1a2572406b60ace3bd23d4cc7d8f2012e7e,normalized_quartile,base_model_as_tool,-0.4285292157367284,0.1052359882005899,-1.3327405931239524,0.0606194690265485
e154bb93b5a393e6fb0f4d5a452cade8604e8b8f,fixed_15m,single_model_final,-2.361411289101313,0.2397628104721414,-3.482115727134728,0.1837472961885582
e154bb93b5a393e6fb0f4d5a452cade8604e8b8f,normalized_quartile,single_model_final,-2.3525106776054248,0.2320732938969846,-3.4681340687597126,0.1929194921367768
e41af4033606fa74e22b7f0ed8bdbadc86f1c0e8,fixed_15m,base_model_as_tool,0.9331455960381398,-0.2815850815850816,-1.543040694460831,0.118104118104118
e41af4033606fa74e22b7f0ed8bdbadc86f1c0e8,normalized_quartile,base_model_as_tool,0.5930373063857464,-0.1934659090909091,-1.2760071679266392,0.0142045454545454
