run_uid,scheme,first_bin,final_bin,delta_novelty,delta_semantic_repetition,delta_frame_convergence,delta_consensus_conformity,delta_specificity,delta_evidence_grounding,delta_epistemic_caution,delta_template_rigidity,delta_citation_quality,delta_collapse_index,internal_family_label,display_family_label,model_family,model_display,roster_name,condition,scale,n_agents,run_id,source_path
1baedcc083f72b81de0ab5a74555fbc789a82edd,fixed_15m,0-15m,45-60m,0.8508771929824563,-0.5463659147869673,-0.6378446115288221,-1.1428571428571428,0.4335839598997495,0.2136591478696741,1.047619047619048,-0.7794486215538847,-0.00877192982456143,-0.791478696741855,base_model_as_tool,Base model as tool,google/gemini-3.1-flash-lite-preview,Gemini Flash Lite,Gemini Flash Lite,mag1,n10,10,bm-mag1-n10-run01-gemini-3.1-flash-lite-preview-20260403,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/base-model-new-1hr/bm-mag1-n10-run01-gemini-3.1-flash-lite-preview-20260403
1baedcc083f72b81de0ab5a74555fbc789a82edd,normalized_quartile,Q1,Q4,0.7382087970323266,-0.507154213036566,-0.5100688924218337,-0.9954954954954953,0.41070482246952844,0.14228934817170114,1.0731319554848966,-0.7970323264440915,-0.009009009009008917,-0.7095919448860628,base_model_as_tool,Base model as tool,google/gemini-3.1-flash-lite-preview,Gemini Flash Lite,Gemini Flash Lite,mag1,n10,10,bm-mag1-n10-run01-gemini-3.1-flash-lite-preview-20260403,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/base-model-new-1hr/bm-mag1-n10-run01-gemini-3.1-flash-lite-preview-20260403
1ed21c6038c6fa8d3b76559045ba690ba7cafd3e,fixed_15m,0-15m,45-60m,-0.33360225897539353,0.4149522656985347,0.10743579400295822,0.340728788489983,-0.28748151136210875,-0.35780556676079067,-0.4130697862041144,0.7118461745327416,-0.2736318407960199,0.3817130563399216,mixed_model_roster,Mixed-model roster,mixed,mixed,Mixed-model roster,mag25,n10,10,mag25-frontier-qwen36-1h-080229-mag25-n10-run01-frontier-mixed-qwen36-openrout-20260422,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/mag25-frontier-qwen36-1h-080229-mag25-n10-run01-frontier-mixed-qwen36-openrout-20260422
1ed21c6038c6fa8d3b76559045ba690ba7cafd3e,normalized_quartile,Q1,Q4,-0.26044900883687605,0.3292333412944828,0.028660138524003287,0.2147122044423213,-0.16384045856221618,-0.28875089562932876,-0.3279197516121326,0.5746357774062578,-0.251253881060425,0.28153809410078745,mixed_model_roster,Mixed-model roster,mixed,mixed,Mixed-model roster,mag25,n10,10,mag25-frontier-qwen36-1h-080229-mag25-n10-run01-frontier-mixed-qwen36-openrout-20260422,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/mag25-frontier-qwen36-1h-080229-mag25-n10-run01-frontier-mixed-qwen36-openrout-20260422
1f0020112e4ff133b10de195ac4d0c5909879320,normalized_quartile,Q1,Q4,0.08447488584474883,-0.08105022831050235,-0.13013698630136972,0.05022831050228316,0.028538812785387613,-0.1832191780821919,-0.1615296803652968,0.30022831050228316,-0.022260273972602773,0.010958904109588552,obsession_prompting,Obsession prompting,gpt-5,GPT-5,GPT-5,mag0,n10,10,obs-mag0-n10-run01-gpt-5-20260419,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/obsession_5h_gpt5/obs-mag0-n10-run01-gpt-5-20260419
1f54ec6a3d6953808ff70fedd062e53325e3265a,fixed_15m,0-15m,45-60m,0.05084745762711873,-0.22953995157384988,-0.2506053268765136,-0.17094430992736154,0.3276029055690075,0.24503631961259087,0.1956416464891042,-0.1607748184019373,-0.013801452784503843,-0.17254237288135554,base_model_as_tool,Base model as tool,qwen3.5-35b-a3b-base,qwen3.5-35b-a3b-base,qwen3.5-35b-a3b-base,dom-agi,n10,10,bm-dom-agi-n10-run01-gemini-3.1-flash-lite-preview-20260403,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/scratch-results/base-model-qwen3.5-35b-a3b-base/bm-dom-agi-n10-run01-gemini-3.1-flash-lite-preview-20260403
1f54ec6a3d6953808ff70fedd062e53325e3265a,normalized_quartile,Q1,Q4,-0.003371260008428134,-0.14075010535187538,-0.19511167298777998,-0.06974294142435689,0.32216603455541515,0.20037926675094808,0.13801095659502738,0.019806152549515232,-0.020438263801095813,-0.07648546144121449,base_model_as_tool,Base model as tool,qwen3.5-35b-a3b-base,qwen3.5-35b-a3b-base,qwen3.5-35b-a3b-base,dom-agi,n10,10,bm-dom-agi-n10-run01-gemini-3.1-flash-lite-preview-20260403,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/scratch-results/base-model-qwen3.5-35b-a3b-base/bm-dom-agi-n10-run01-gemini-3.1-flash-lite-preview-20260403
1f6aac827eaca5bf15b247e176367978de62b4d0,fixed_15m,0-15m,45-60m,-1.3,2.2750000000000004,1.4000000000000004,1.225,-1.0499999999999998,-0.8,-0.8250000000000002,1.975,0.0,1.6349999999999993,base_model_as_tool,Base model as tool,qwen3.5-35b-a3b-instruct,qwen3.5-35b-a3b-instruct,qwen3.5-35b-a3b-instruct,mag1,n10,10,bm-mag1-n10-run01-gemini-3.1-flash-lite-preview-20260408,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/base-model-qwen3.5-35b-a3b-instruct/bm-mag1-n10-run01-gemini-3.1-flash-lite-preview-20260408
1f6aac827eaca5bf15b247e176367978de62b4d0,normalized_quartile,Q1,Q4,-1.1666666666666667,1.875,1.0,0.7916666666666665,-0.75,-0.6666666666666667,-0.625,1.7083333333333335,0.0,1.3083333333333327,base_model_as_tool,Base model as tool,qwen3.5-35b-a3b-instruct,qwen3.5-35b-a3b-instruct,qwen3.5-35b-a3b-instruct,mag1,n10,10,bm-mag1-n10-run01-gemini-3.1-flash-lite-preview-20260408,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/base-model-qwen3.5-35b-a3b-instruct/bm-mag1-n10-run01-gemini-3.1-flash-lite-preview-20260408
1fe60ca12bde7999c8575bb980380ece20ae5bb7,fixed_15m,0-15m,45-60m,-0.5447274517041958,0.6828472991263688,0.1309831426110497,0.13971945367294225,-0.7879906484557648,-0.37676879537344665,-0.2513842746400887,1.182355112587671,-0.0033222591362125353,0.5361264919404469,single_model_final,Single-model final runs,google/gemini-3.1-flash-lite-preview,Gemini Flash Lite,Gemini Flash Lite,dom-agi,n30,30,ec-dom-agi-n30-run01,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-30/ec-dom-agi-n30-run01
