scale,condition,run_name,bin_idx,bin_start,bin_end,n_posts,distinct_5_fixed,distinct_5_cumulative,simpsons_1d
n30,dom-tech,ec-dom-tech-n30-run01,1,15.0,30.0,419,0.6931,0.768,3034.15
n30,dom-tech,ec-dom-tech-n30-run01,2,30.0,45.0,367,0.6042,0.7062,1805.14
n30,dom-tech,ec-dom-tech-n30-run01,3,45.0,60.0,228,0.7279,0.6944,2252.01
n30,mag0,ec-mag0-n30-run01,0,0.0,15.0,404,0.9714,0.9714,12745.14
n30,mag0,ec-mag0-n30-run01,1,15.0,30.0,425,0.9092,0.9374,9524.0
n30,mag0,ec-mag0-n30-run01,2,30.0,45.0,414,0.8912,0.9167,7172.6
n30,mag0,ec-mag0-n30-run01,3,45.0,60.0,370,0.8763,0.8978,6568.1
n30,mag1,ec-mag1-n30-run01,0,0.0,15.0,393,0.9399,0.9399,11338.39
n30,mag1,ec-mag1-n30-run01,1,15.0,30.0,408,0.8313,0.8796,4755.07
n30,mag1,ec-mag1-n30-run01,2,30.0,45.0,424,0.7835,0.8388,3134.72
n30,mag1,ec-mag1-n30-run01,3,45.0,60.0,387,0.8019,0.8185,2229.01
n30,mag25,ec-mag25-n30-run01,0,0.0,15.0,422,0.913,0.913,17626.22
n30,mag25,ec-mag25-n30-run01,1,15.0,30.0,435,0.8194,0.8524,10532.95
n30,mag25,ec-mag25-n30-run01,2,30.0,45.0,412,0.795,0.8181,7986.82
n30,mag25,ec-mag25-n30-run01,3,45.0,60.0,319,0.7846,0.7976,5698.86
n30,mag5,ec-mag5-n30-run01,0,0.0,15.0,402,0.882,0.882,8438.63
n30,mag5,ec-mag5-n30-run01,1,15.0,30.0,406,0.8137,0.8354,5347.5
n30,mag5,ec-mag5-n30-run01,2,30.0,45.0,405,0.806,0.8083,3446.75
n30,mag5,ec-mag5-n30-run01,3,45.0,60.0,367,0.735,0.7744,2057.77
