bin_idx,bin_label,condition,display_family_label,dominant_share,dominant_topic,effective_topics,internal_family_label,model_display,model_family,n_agents,n_agents_observed,n_posts,roster_name,run_id,run_uid,scale,scheme,source_path,topic_01_share,topic_02_share,topic_03_share,topic_04_share,topic_05_share,topic_06_share,topic_07_share,topic_08_share,topic_09_share,topic_10_share,topic_11_share,topic_12_share,topic_entropy,topic_entropy_norm,topic_hhi
2,30-45m,mag1,Single-model final runs,0.4074074074074074,T03,4.746758432215892,single_model_final,GPT-5,gpt-5,10,10,135,GPT-5,ec-mag1-run04,071b1111ea14702baa81d46e561002e9e8421824,n10,fixed_15m,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-10/ec-mag1-run04,0.0,0.044444444444444446,0.4074074074074074,0.0,0.2814814814814815,0.007407407407407408,0.007407407407407408,0.08148148148148149,0.08888888888888889,0.08148148148148149,0.0,0.0,1.5574619497585998,0.6267687962811297,0.26847736625514407
3,45-60m,mag1,Single-model final runs,0.25,T05,5.683852588158823,single_model_final,GPT-5,gpt-5,10,10,96,GPT-5,ec-mag1-run04,071b1111ea14702baa81d46e561002e9e8421824,n10,fixed_15m,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-10/ec-mag1-run04,0.0,0.14583333333333334,0.21875,0.0,0.25,0.03125,0.0,0.0625,0.23958333333333334,0.052083333333333336,0.0,0.0,1.737629275373359,0.6992734618508123,0.19661458333333331
0,Q1,mag1,Single-model final runs,0.4715447154471545,T03,4.934036412283175,single_model_final,GPT-5,gpt-5,10,10,123,GPT-5,ec-mag1-run04,071b1111ea14702baa81d46e561002e9e8421824,n10,normalized_quartile,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-10/ec-mag1-run04,0.016260162601626018,0.032520325203252036,0.4715447154471545,0.016260162601626018,0.12195121951219512,0.0,0.0,0.0975609756097561,0.13008130081300814,0.11382113821138211,0.0,0.0,1.596157397950865,0.6423409901885212,0.27820741622050366
1,Q2,mag1,Single-model final runs,0.4,T03,4.494538395892047,single_model_final,GPT-5,gpt-5,10,10,135,GPT-5,ec-mag1-run04,071b1111ea14702baa81d46e561002e9e8421824,n10,normalized_quartile,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-10/ec-mag1-run04,0.0,0.06666666666666667,0.4,0.007407407407407408,0.32592592592592595,0.007407407407407408,0.0,0.06666666666666667,0.037037037037037035,0.08888888888888889,0.0,0.0,1.5028629698565572,0.6047965503994984,0.28449931412894386
2,Q3,mag1,Single-model final runs,0.40310077519379844,T03,4.6103887430233454,single_model_final,GPT-5,gpt-5,10,10,129,GPT-5,ec-mag1-run04,071b1111ea14702baa81d46e561002e9e8421824,n10,normalized_quartile,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-10/ec-mag1-run04,0.0,0.031007751937984496,0.40310077519379844,0.0,0.2713178294573643,0.007751937984496124,0.0,0.06976744186046512,0.08527131782945736,0.13178294573643412,0.0,0.0,1.5283121794887498,0.6150380657636123,0.2666306111411574
3,Q4,mag1,Single-model final runs,0.2644628099173554,T05,5.737972782565643,single_model_final,GPT-5,gpt-5,10,10,121,GPT-5,ec-mag1-run04,071b1111ea14702baa81d46e561002e9e8421824,n10,normalized_quartile,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-10/ec-mag1-run04,0.0,0.1322314049586777,0.24793388429752067,0.0,0.2644628099173554,0.024793388429752067,0.008264462809917356,0.0743801652892562,0.2066115702479339,0.04132231404958678,0.0,0.0,1.7471059741818797,0.7030871660031712,0.19950823031213716
0,0-15m,mag5,Base model as tool,0.5147058823529411,T12,2.9878901273807013,base_model_as_tool,OLMo 3 32B Instruct,olmo-3-32b-instruct,10,10,136,OLMo 3 32B Instruct,bm-mag5-n10-run01-gemini-3.1-flash-lite-preview-20260408,0ad21e48914c34092e43cad60b5ab85c0eae2a3e,n10,fixed_15m,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-instruct/mag5,0.007352941176470588,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705882352941,0.007352941176470588,0.014705882352941176,0.3382352941176471,0.5147058823529411,1.094567495302891,0.440486364103969,0.3934904844290657
1,15-30m,mag5,Base model as tool,1.0,T11,1.0,base_model_as_tool,OLMo 3 32B Instruct,olmo-3-32b-instruct,10,9,115,OLMo 3 32B Instruct,bm-mag5-n10-run01-gemini-3.1-flash-lite-preview-20260408,0ad21e48914c34092e43cad60b5ab85c0eae2a3e,n10,fixed_15m,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-instruct/mag5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,-0.0,1.0
2,30-45m,mag5,Base model as tool,1.0,T11,1.0,base_model_as_tool,OLMo 3 32B Instruct,olmo-3-32b-instruct,10,9,122,OLMo 3 32B Instruct,bm-mag5-n10-run01-gemini-3.1-flash-lite-preview-20260408,0ad21e48914c34092e43cad60b5ab85c0eae2a3e,n10,fixed_15m,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-instruct/mag5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,-0.0,1.0
3,45-60m,mag5,Base model as tool,1.0,T11,1.0,base_model_as_tool,OLMo 3 32B Instruct,olmo-3-32b-instruct,10,8,86,OLMo 3 32B Instruct,bm-mag5-n10-run01-gemini-3.1-flash-lite-preview-20260408,0ad21e48914c34092e43cad60b5ab85c0eae2a3e,n10,fixed_15m,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-instruct/mag5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,-0.0,1.0
0,Q1,mag5,Base model as tool,0.5303030303030303,T12,2.9861350215947273,base_model_as_tool,OLMo 3 32B Instruct,olmo-3-32b-instruct,10,10,132,OLMo 3 32B Instruct,bm-mag5-n10-run01-gemini-3.1-flash-lite-preview-20260408,0ad21e48914c34092e43cad60b5ab85c0eae2a3e,n10,normalized_quartile,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-instruct/mag5,0.007575757575757576,0.0,0.0,0.0,0.0,0.0,0.0,0.12121212121212122,0.007575757575757576,0.015151515151515152,0.3181818181818182,0.5303030303030303,1.0939799163112724,0.4402499049228289,0.3974977043158861
1,Q2,mag5,Base model as tool,1.0,T11,1.0,base_model_as_tool,OLMo 3 32B Instruct,olmo-3-32b-instruct,10,9,111,OLMo 3 32B Instruct,bm-mag5-n10-run01-gemini-3.1-flash-lite-preview-20260408,0ad21e48914c34092e43cad60b5ab85c0eae2a3e,n10,normalized_quartile,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-instruct/mag5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,-0.0,1.0
2,Q3,mag5,Base model as tool,1.0,T11,1.0,base_model_as_tool,OLMo 3 32B Instruct,olmo-3-32b-instruct,10,9,115,OLMo 3 32B Instruct,bm-mag5-n10-run01-gemini-3.1-flash-lite-preview-20260408,0ad21e48914c34092e43cad60b5ab85c0eae2a3e,n10,normalized_quartile,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-instruct/mag5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,-0.0,1.0
3,Q4,mag5,Base model as tool,1.0,T11,1.0,base_model_as_tool,OLMo 3 32B Instruct,olmo-3-32b-instruct,10,9,101,OLMo 3 32B Instruct,bm-mag5-n10-run01-gemini-3.1-flash-lite-preview-20260408,0ad21e48914c34092e43cad60b5ab85c0eae2a3e,n10,normalized_quartile,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-instruct/mag5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,-0.0,1.0
0,Q1,mag25,Obsession prompting,0.3111111111111111,T09,4.703317865812122,obsession_prompting,GPT-5,gpt-5,10,6,90,GPT-5,obs-mag25-n10-run01-gpt-5-20260418,0e1a75b82e3e1c9395f6955b14174d7d7baa76f3,n10,normalized_quartile,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/obsession/gpt5/obs-mag25-1h,0.0,0.24444444444444444,0.0,0.1111111111111111,0.15555555555555556,0.0,0.0,0.0,0.3111111111111111,0.17777777777777778,0.0,0.0,1.548268188561607,0.6230689545998428,0.22469135802469134
