scale,condition,run_name,bin_idx,bin_start,bin_end,n_posts,n_agents,novelty_rate,new_ngrams,total_ngram_events,effective_vocab_size,top_k_concentration,effective_vocab_sub_mean,effective_vocab_sub_ci_lo,effective_vocab_sub_ci_hi,top_k_conc_sub_mean,top_k_conc_sub_ci_lo,top_k_conc_sub_ci_hi
n30,dom-tech,ec-dom-tech-n30-run01,3,45.0,60.0,228,24,0.6091,5444,8938,2252.01,0.0546,1210.81,933.96,1435.12,0.0608,0.046,0.0826
n30,mag0,ec-mag0-n30-run01,0,0.0,15.0,404,30,0.9714,13632,14033,12745.14,0.0091,1709.09,1543.64,1873.02,0.0172,0.0113,0.0261
n30,mag0,ec-mag0-n30-run01,1,15.0,30.0,425,30,0.9023,12261,13589,9524.0,0.015,1520.27,1406.4,1658.19,0.0267,0.0146,0.0368
n30,mag0,ec-mag0-n30-run01,2,30.0,45.0,414,30,0.8696,10594,12182,7172.6,0.0241,1384.77,1269.73,1487.64,0.0324,0.0225,0.0462
n30,mag0,ec-mag0-n30-run01,3,45.0,60.0,370,29,0.8268,8738,10569,6568.1,0.0206,1322.01,1203.49,1424.77,0.0329,0.022,0.0469
n30,mag1,ec-mag1-n30-run01,0,0.0,15.0,393,30,0.9399,13657,14530,11338.39,0.0123,1786.17,1546.51,2077.03,0.0216,0.0126,0.0293
n30,mag1,ec-mag1-n30-run01,1,15.0,30.0,408,29,0.8175,11555,14134,4755.07,0.0392,1429.27,1257.22,1661.49,0.0448,0.0329,0.0587
n30,mag1,ec-mag1-n30-run01,2,30.0,45.0,424,30,0.7521,10126,13463,3134.72,0.0488,1151.65,964.51,1351.56,0.0581,0.0411,0.0761
n30,mag1,ec-mag1-n30-run01,3,45.0,60.0,387,30,0.7387,7945,10755,2229.01,0.0593,961.9,778.78,1151.48,0.0677,0.0501,0.0886
n30,mag25,ec-mag25-n30-run01,0,0.0,15.0,422,30,0.913,24745,27103,17626.22,0.0128,3032.57,2726.45,3379.91,0.018,0.0137,0.0241
n30,mag25,ec-mag25-n30-run01,1,15.0,30.0,435,30,0.7869,19716,25055,10532.95,0.0161,2517.87,2121.27,2922.04,0.0248,0.0168,0.0355
n30,mag25,ec-mag25-n30-run01,2,30.0,45.0,412,30,0.736,16037,21789,7986.82,0.0217,2178.26,1686.85,2559.32,0.0297,0.0218,0.0418
n30,mag25,ec-mag25-n30-run01,3,45.0,60.0,319,28,0.6896,9678,14035,5698.86,0.0228,1826.59,1355.45,2216.86,0.0314,0.02,0.0476
n30,mag5,ec-mag5-n30-run01,0,0.0,15.0,402,29,0.882,15093,17112,8438.63,0.0231,1889.24,1631.03,2089.08,0.0306,0.0218,0.0462
n30,mag5,ec-mag5-n30-run01,1,15.0,30.0,406,30,0.7825,11812,15096,5347.5,0.0344,1529.1,1296.08,1675.7,0.0417,0.0304,0.0605
n30,mag5,ec-mag5-n30-run01,2,30.0,45.0,405,30,0.7424,9820,13227,3446.75,0.0498,1210.66,1002.51,1403.49,0.0567,0.0433,0.0716
n30,mag5,ec-mag5-n30-run01,3,45.0,60.0,367,29,0.6418,7451,11610,2057.77,0.0683,977.94,738.64,1156.9,0.0754,0.058,0.0992
