condition,delta_compression_bzip2,delta_compression_gzip,delta_compression_zlib,delta_distinct_1,delta_distinct_1_sub_ci_high,delta_distinct_1_sub_ci_low,delta_distinct_1_sub_mean,delta_distinct_2,delta_distinct_2_sub_ci_high,delta_distinct_2_sub_ci_low,delta_distinct_2_sub_mean,delta_distinct_3,delta_distinct_3_sub_ci_high,delta_distinct_3_sub_ci_low,delta_distinct_3_sub_mean,delta_distinct_4,delta_distinct_4_sub_ci_high,delta_distinct_4_sub_ci_low,delta_distinct_4_sub_mean,delta_distinct_5,delta_distinct_5_cumulative,delta_distinct_5_sub_ci_high,delta_distinct_5_sub_ci_low,delta_distinct_5_sub_mean,delta_n_agents,delta_n_posts,delta_simpson_5gram_effective,delta_subsample_target_posts,display_family_label,final_bin,final_n_posts,first_bin,first_n_posts,internal_family_label,model_display,model_family,n_agents,roster_name,run_id,run_uid,scale,scheme,source_path
dom-agi,0.07715097991119274,0.058866399992286766,0.05588025672074676,0.12655697479498149,-0.0025499693523198808,0.03698690872522137,0.020474571930618968,0.17520222518661477,0.015234904591020504,0.06786920041998357,0.04148737028945426,0.0926879636824065,0.004661885972029101,0.037945319017827495,0.020646010753593735,0.03359879621049533,-0.0075153258423317215,0.027654246448385766,0.0006686943532313583,0.012196697899979347,-0.0017548854686190163,-0.00856602037836851,0.02696883569419828,-0.002159658495769601,-4,-83,-10601.203046130024,0,Base model as tool,45-60m,35,0-15m,118,base_model_as_tool,qwen3.5-35b-a3b-base,qwen3.5-35b-a3b-base,10,qwen3.5-35b-a3b-base,bm-dom-agi-n10-run01-gemini-3.1-flash-lite-preview-20260403,1f54ec6a3d6953808ff70fedd062e53325e3265a,n10,fixed_15m,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/scratch-results/base-model-qwen3.5-35b-a3b-base/bm-dom-agi-n10-run01-gemini-3.1-flash-lite-preview-20260403
dom-agi,0.07406784084952667,0.05832025683932962,0.05560714495743735,0.1141988862272709,0.011392505474422998,0.04474387981167524,0.028442425483729383,0.16830756046565187,0.03344728931443164,0.09080726384034121,0.05787722064079237,0.09504729609137963,0.01780906160124829,0.052302867483546844,0.032116933121830615,0.03579707534490073,-0.0020540566011714168,0.02962131621601949,0.007484526825072724,0.01404834265868704,-0.0012745651054310025,-0.006023486100904529,0.025693237535938662,0.0017901188758517872,-4,-71,-9381.762559261482,0,Base model as tool,Q4,42,Q1,113,base_model_as_tool,qwen3.5-35b-a3b-base,qwen3.5-35b-a3b-base,10,qwen3.5-35b-a3b-base,bm-dom-agi-n10-run01-gemini-3.1-flash-lite-preview-20260403,1f54ec6a3d6953808ff70fedd062e53325e3265a,n10,normalized_quartile,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/scratch-results/base-model-qwen3.5-35b-a3b-base/bm-dom-agi-n10-run01-gemini-3.1-flash-lite-preview-20260403
mag1,-0.013720990009355227,-0.031259418828131436,-0.03323223519311291,-0.041661515291155804,-0.07221350078492939,0.04988767014668949,-0.0016514754352913164,-0.042504822265086784,0.0,0.025474525474525445,0.0008162143802954436,-0.016920071798120606,0.0,0.0,0.0,-0.007631711469748947,0.0,0.0,0.0,0.0,-0.007611241217798548,0.0,0.0,0.0,-5,-3,-299.0,0,Base model as tool,45-60m,5,0-15m,8,base_model_as_tool,qwen3.5-35b-a3b-instruct,qwen3.5-35b-a3b-instruct,10,qwen3.5-35b-a3b-instruct,bm-mag1-n10-run01-gemini-3.1-flash-lite-preview-20260408,1f6aac827eaca5bf15b247e176367978de62b4d0,n10,fixed_15m,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/base-model-qwen3.5-35b-a3b-instruct/bm-mag1-n10-run01-gemini-3.1-flash-lite-preview-20260408
mag1,-0.012424077355455976,-0.03167650817328016,-0.03278021374200529,-0.05524611398963736,-0.09238935264827575,-0.08968041981287023,-0.07140009574028705,-0.04141228948910347,-0.021234519872917024,-0.07063820018365474,-0.03882619427835121,-0.01546750086896076,-0.00520833333333337,-0.021352682241710053,-0.01122927691083353,-0.006043175405016088,0.0,-0.008378561736770651,-0.0039061615133281213,0.0,-0.007611241217798548,0.0,0.0,0.0,-5,-2,-204.0,0,Base model as tool,Q4,6,Q1,8,base_model_as_tool,qwen3.5-35b-a3b-instruct,qwen3.5-35b-a3b-instruct,10,qwen3.5-35b-a3b-instruct,bm-mag1-n10-run01-gemini-3.1-flash-lite-preview-20260408,1f6aac827eaca5bf15b247e176367978de62b4d0,n10,normalized_quartile,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/base-model-qwen3.5-35b-a3b-instruct/bm-mag1-n10-run01-gemini-3.1-flash-lite-preview-20260408
dom-agi,0.07715097991119274,0.058866399992286766,0.05588025672074676,0.12655697479498149,-0.0025499693523198808,0.03698690872522137,0.020474571930618968,0.17520222518661477,0.015234904591020504,0.06786920041998357,0.04148737028945426,0.0926879636824065,0.004661885972029101,0.037945319017827495,0.020646010753593735,0.03359879621049533,-0.0075153258423317215,0.027654246448385766,0.0006686943532313583,0.012196697899979347,-0.0017548854686190163,-0.00856602037836851,0.02696883569419828,-0.002159658495769601,-4,-83,-10601.203046130024,0,Base model as tool,45-60m,35,0-15m,118,base_model_as_tool,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,10,Gemini Flash Lite,bm-dom-agi-n10-run01-gemini-3.1-flash-lite-preview-20260403,2997cbf1775613e879d50c83fff649e45beb0835,n10,fixed_15m,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/base-model-new-1hr/bm-dom-agi-n10-run01-gemini-3.1-flash-lite-preview-20260403
dom-agi,0.07406784084952667,0.05832025683932962,0.05560714495743735,0.1141988862272709,0.011392505474422998,0.04474387981167524,0.028442425483729383,0.16830756046565187,0.03344728931443164,0.09080726384034121,0.05787722064079237,0.09504729609137963,0.01780906160124829,0.052302867483546844,0.032116933121830615,0.03579707534490073,-0.0020540566011714168,0.02962131621601949,0.007484526825072724,0.01404834265868704,-0.0012745651054310025,-0.006023486100904529,0.025693237535938662,0.0017901188758517872,-4,-71,-9381.762559261482,0,Base model as tool,Q4,42,Q1,113,base_model_as_tool,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,10,Gemini Flash Lite,bm-dom-agi-n10-run01-gemini-3.1-flash-lite-preview-20260403,2997cbf1775613e879d50c83fff649e45beb0835,n10,normalized_quartile,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/base-model-new-1hr/bm-dom-agi-n10-run01-gemini-3.1-flash-lite-preview-20260403
dom-agi,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,-10,-53,nan,0,Base model as tool,45-60m,0,0-15m,53,base_model_as_tool,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,10,Gemini Flash Lite,bm-dom-agi-n10-run01-gemini-3.1-flash-lite-preview-20260403,2ea0f12d0e8e1581385eeb1bb6506353aeb06ad3,n10,fixed_15m,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/base-model-new/bm-dom-agi-n10-run01-gemini-3.1-flash-lite-preview-20260403
dom-agi,-0.020714516688237372,-0.040393750254949456,-0.04029593255350772,-0.05009361849953292,-0.16560212343934055,-0.10820682928816927,-0.13484470754112626,-0.1399902393232597,-0.19283427840948775,-0.1658050754710123,-0.18075135728157288,-0.1254171243752059,-0.13991557759825146,-0.12869472129578363,-0.13377613369794772,-0.11590898201506228,-0.12091445655279176,-0.11510905733779642,-0.11820889190522366,-0.1125868174229836,-0.0712278127144973,-0.1145393068469992,-0.11146148681485801,-0.11335652049442924,-3,-9,-1139.9910837859816,0,Base model as tool,Q4,10,Q1,19,base_model_as_tool,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,10,Gemini Flash Lite,bm-dom-agi-n10-run01-gemini-3.1-flash-lite-preview-20260403,2ea0f12d0e8e1581385eeb1bb6506353aeb06ad3,n10,normalized_quartile,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/base-model-new/bm-dom-agi-n10-run01-gemini-3.1-flash-lite-preview-20260403
mag0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,-10,-55,nan,0,Base model as tool,45-60m,0,0-15m,55,base_model_as_tool,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,10,Gemini Flash Lite,bm-mag0-n10-run01-gemini-3.1-flash-lite-preview-20260403,34c81c49a254ddd5aaffd72a39a5fde9823de321,n10,fixed_15m,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/base-model-new/bm-mag0-n10-run01-gemini-3.1-flash-lite-preview-20260403
mag0,0.05292638110986042,0.05907803966779457,0.05821224160333227,0.14499796770498463,0.07048416894405707,0.14449048388147634,0.10977673154705969,0.1194326054711703,0.015378838911624948,0.14216593202267636,0.08227201754963742,0.11003766988660868,0.0034267597627475332,0.15469503930620776,0.08569828555823289,0.10361546280562084,0.002106422419892895,0.1465689247848182,0.08021829367489186,0.10105708245243128,0.060009169871876544,0.001303086798275177,0.14712733810158285,0.08780772404090331,-2,-4,-752.8694942903755,0,Base model as tool,Q4,11,Q1,15,base_model_as_tool,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,10,Gemini Flash Lite,bm-mag0-n10-run01-gemini-3.1-flash-lite-preview-20260403,34c81c49a254ddd5aaffd72a39a5fde9823de321,n10,normalized_quartile,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/base-model-new/bm-mag0-n10-run01-gemini-3.1-flash-lite-preview-20260403
