run_uid,model_display,condition,bin_idx,bin_label,n_posts_cumulative,gzip,distinct5,llm_collapse
852f26a14ae81926ea3105598ca9785c486f6611,Kimi K2.5,mag25,2,30-45,376,0.293745138729252,0.9353221162321509,4.301595744680851
852f26a14ae81926ea3105598ca9785c486f6611,Kimi K2.5,mag25,3,45-60,480,0.2874341486873456,0.9230402911713183,4.38375
92d7e428272f4ac978a0baea7895710d9e3e5c92,Gemini Flash Lite,mag25,0,0-15,133,0.3281118280888371,0.9808470727613782,4.009022556390978
92d7e428272f4ac978a0baea7895710d9e3e5c92,Gemini Flash Lite,mag25,1,15-30,235,0.3061709320773838,0.9638632664134563,4.128510638297873
92d7e428272f4ac978a0baea7895710d9e3e5c92,Gemini Flash Lite,mag25,2,30-45,335,0.29560479921645444,0.9544715447154472,4.156417910447762
92d7e428272f4ac978a0baea7895710d9e3e5c92,Gemini Flash Lite,mag25,3,45-60,418,0.29174282311782695,0.9500513573000734,4.200478468899522
9f77ea357569395e2a48f10902ae9e4a14b77f4a,Gemini Flash Lite,mag0,0,0-15,136,0.3298985633634736,0.982030804335425,3.7735294117647062
9f77ea357569395e2a48f10902ae9e4a14b77f4a,Gemini Flash Lite,mag0,1,15-30,259,0.308788543711745,0.9735746086456987,3.7953667953667956
9f77ea357569395e2a48f10902ae9e4a14b77f4a,Gemini Flash Lite,mag0,2,30-45,377,0.2958419381684801,0.9630677730346779,3.8217506631299734
9f77ea357569395e2a48f10902ae9e4a14b77f4a,Gemini Flash Lite,mag0,3,45-60,472,0.2919822028511759,0.9577597586271922,3.820762711864407
a67c72b10e243c3cb1cc64235c83a876b68f4af6,GLM-5,mag0,0,0-15,106,0.32352125576666135,0.9814824556788889,3.7886792452830185
a67c72b10e243c3cb1cc64235c83a876b68f4af6,GLM-5,mag0,1,15-30,198,0.3012836411984988,0.9580461642565349,3.8565656565656563
a67c72b10e243c3cb1cc64235c83a876b68f4af6,GLM-5,mag0,2,30-45,266,0.29708662324938045,0.9518080765442521,3.851127819548872
a67c72b10e243c3cb1cc64235c83a876b68f4af6,GLM-5,mag0,3,45-60,317,0.29460846024969944,0.9472552364840647,3.846687697160883
b068c4711834243dbb5129c3f6e17813ea019027,GPT-5,mag5,0,0-15,109,0.3330499167463776,0.9185879757308328,4.374311926605505
b068c4711834243dbb5129c3f6e17813ea019027,GPT-5,mag5,1,15-30,187,0.3046735167384819,0.872231804070369,4.4577540106951865
b068c4711834243dbb5129c3f6e17813ea019027,GPT-5,mag5,2,30-45,261,0.28477869067463174,0.8208190224570674,4.520306513409961
b068c4711834243dbb5129c3f6e17813ea019027,GPT-5,mag5,3,45-60,282,0.2779686570124975,0.803026544281816,4.539716312056738
b7fe33911b2613a99c1eaed241b2bacfe46af515,Gemini Flash Lite,mag5,0,0-15,139,0.32951353975243575,0.96422935297212,4.316546762589928
b7fe33911b2613a99c1eaed241b2bacfe46af515,Gemini Flash Lite,mag5,1,15-30,253,0.2855715214375115,0.8745562130177514,4.503557312252965
b7fe33911b2613a99c1eaed241b2bacfe46af515,Gemini Flash Lite,mag5,2,30-45,349,0.2538314713972941,0.7952182952182952,4.605730659025788
b7fe33911b2613a99c1eaed241b2bacfe46af515,Gemini Flash Lite,mag5,3,45-60,423,0.2332365003417635,0.7360268172194778,4.656264775413712
bc19d8fdf4a7fe00f0c24d267590e3efec58a8b0,Kimi K2.5,mag1,0,0-15,142,0.30965758837181806,0.944563964656166,3.9760563380281675
bc19d8fdf4a7fe00f0c24d267590e3efec58a8b0,Kimi K2.5,mag1,1,15-30,230,0.2973293622870608,0.9310615061809541,4.0321739130434775
bc19d8fdf4a7fe00f0c24d267590e3efec58a8b0,Kimi K2.5,mag1,2,30-45,357,0.29282991907767564,0.9251634045129922,4.072829131652661
bc19d8fdf4a7fe00f0c24d267590e3efec58a8b0,Kimi K2.5,mag1,3,45-60,455,0.28883795211729674,0.913022113022113,4.123076923076923
be3cc4472a58a0005e16432801fb120a461f3a19,Kimi K2.5,mag0,0,0-15,149,0.3123129918785044,0.957459862971674,4.001342281879195
be3cc4472a58a0005e16432801fb120a461f3a19,Kimi K2.5,mag0,1,15-30,293,0.2947510538962296,0.9328228835596648,4.225255972696246
be3cc4472a58a0005e16432801fb120a461f3a19,Kimi K2.5,mag0,2,30-45,418,0.2850002270417163,0.9101022634889393,4.323444976076555
be3cc4472a58a0005e16432801fb120a461f3a19,Kimi K2.5,mag0,3,45-60,487,0.27890759896716144,0.8937958405478492,4.384394250513346
bfa4cd3f4504f42d76f95b422da94d5454e0f2a7,Gemini Flash Lite,mag1,0,0-15,124,0.3238688076973085,0.9709636247606892,4.1887096774193555
bfa4cd3f4504f42d76f95b422da94d5454e0f2a7,Gemini Flash Lite,mag1,1,15-30,222,0.3034396179041362,0.9604472843450479,4.2990990990991
bfa4cd3f4504f42d76f95b422da94d5454e0f2a7,Gemini Flash Lite,mag1,2,30-45,289,0.29522631455673964,0.9499545040946314,4.315570934256056
bfa4cd3f4504f42d76f95b422da94d5454e0f2a7,Gemini Flash Lite,mag1,3,45-60,345,0.28912357532553007,0.9465231431646932,4.340869565217391
ed89d518f117e12c753d18ad471c73ef335e5f8a,GLM-5,mag1,0,0-15,102,0.33658085401572374,0.9829853536927392,4.007843137254902
ed89d518f117e12c753d18ad471c73ef335e5f8a,GLM-5,mag1,1,15-30,154,0.3283127620314405,0.9805067461562598,3.983116883116883
ed89d518f117e12c753d18ad471c73ef335e5f8a,GLM-5,mag1,2,30-45,201,0.32615277362812467,0.9779586198612654,3.9661691542288553
ed89d518f117e12c753d18ad471c73ef335e5f8a,GLM-5,mag1,3,45-60,266,0.32165343856693124,0.9735766034045957,3.9819548872180444
f6a9af6b0a8c242dfd9a45a69e65095585df6073,GLM-5,mag25,0,0-15,90,0.3290156547909132,0.983973202782788,3.802222222222223
f6a9af6b0a8c242dfd9a45a69e65095585df6073,GLM-5,mag25,1,15-30,134,0.3201569396763119,0.9775199168687219,3.8626865671641792
f6a9af6b0a8c242dfd9a45a69e65095585df6073,GLM-5,mag25,2,30-45,182,0.31582495389861176,0.9712284736195678,3.940659340659341
f6a9af6b0a8c242dfd9a45a69e65095585df6073,GLM-5,mag25,3,45-60,251,0.30952776269995846,0.963451640162864,3.986454183266932
fa1544d4921dee1eee06b14a95889337c8727c45,GLM-5,dom-tech,0,0-15,81,0.32381207487134533,0.9776321623885303,3.765432098765432
fa1544d4921dee1eee06b14a95889337c8727c45,GLM-5,dom-tech,1,15-30,129,0.318933291212552,0.9710993697880196,3.86046511627907
fa1544d4921dee1eee06b14a95889337c8727c45,GLM-5,dom-tech,2,30-45,189,0.31223602255555966,0.9607555229259828,3.87936507936508
fa1544d4921dee1eee06b14a95889337c8727c45,GLM-5,dom-tech,3,45-60,253,0.3089841410234162,0.9565921552087727,3.922529644268775
