model_family,condition,n_judged,novelty_mean,novelty_ci_low,novelty_ci_high,semantic_repetition_mean,semantic_repetition_ci_low,semantic_repetition_ci_high,narrative_convergence_mean,narrative_convergence_ci_low,narrative_convergence_ci_high,groupthink_mean,groupthink_ci_low,groupthink_ci_high,template_rigidity_mean,template_rigidity_ci_low,template_rigidity_ci_high,evidence_grounding_mean,evidence_grounding_ci_low,evidence_grounding_ci_high,specificity_mean,specificity_ci_low,specificity_ci_high,epistemic_caution_mean,epistemic_caution_ci_low,epistemic_caution_ci_high,source_citation_quality_mean,source_citation_quality_ci_low,source_citation_quality_ci_high,collapse_index_mean
nvidia/nemotron-3-super-120b-a12b:free,mag0,5,1.6,1.2,2.0,2.8,1.8,3.8,3.0,1.8,4.0,2.4,1.6,3.0,3.0,2.4,3.6,1.0,1.0,1.0,1.6,1.0,2.4,2.6,2.2,3.0,1.0,1.0,1.0,2.8
nvidia/nemotron-3-super-120b-a12b:free,mag1,16,1.625,1.3125,1.9375,4.1875,3.6875,4.625,4.4375,4.0625,4.75,3.9375,3.4375,4.4375,3.1875,2.5,3.8125,1.0,1.0,1.0,1.375,1.125,1.6875,2.25,1.8125,2.6875,1.0,1.0,1.0,3.9375
nvidia/nemotron-3-super-120b-a12b:free,mag25,3,2.0,2.0,2.0,2.3333333333333335,2.0,2.6666666666666665,3.0,2.0,3.6666666666666665,2.3333333333333335,2.0,2.6666666666666665,1.6666666666666667,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,3.6666666666666665,3.3333333333333335,4.0,1.0,1.0,1.0,2.3333333333333335
nvidia/nemotron-3-super-120b-a12b:free,mag5,1,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,4.0,4.0,1.0,1.0,1.0,2.25
olmo3-32b-base,dom-agi,16,1.1875,1.0609375,1.375,4.5625,4.1875,4.875,4.8125,4.625,4.939062499999999,4.75,4.4375,4.939062499999999,4.25,4.0625,4.439062499999999,1.125,1.0,1.375,1.4375,1.1875,1.75,1.25,1.0625,1.5,1.0625,1.0,1.1875,4.59375
olmo3-32b-base,dom-tech,16,1.125,1.0,1.375,4.375,3.8125,4.8125,4.75,4.25,5.0,4.75,4.25,5.0,4.0625,3.75,4.375,1.125,1.0,1.3125,1.4375,1.1875,1.75,1.1875,1.0,1.375,1.0,1.0,1.0,4.484375
olmo3-32b-base,mag0,16,1.3125,1.125,1.5625,3.875,3.5625,4.1875,4.375,3.875,4.814062499999999,3.8125,3.3125,4.314062499999999,4.375,4.0625,4.6875,1.125,1.0,1.3125,1.625,1.375,1.875,1.4375,1.0,2.0,1.0,1.0,1.0,4.109375
olmo3-32b-base,mag1,16,1.0625,1.0,1.1875,4.625,4.375,4.875,4.9375,4.8125,5.0,4.875,4.625,5.0,4.125,3.875,4.375,1.0,1.0,1.0,1.125,1.0,1.3125,1.375,1.125,1.625,1.0,1.0,1.0,4.640625
olmo3-32b-base,mag25,16,1.3125,1.125,1.5625,4.0,3.625,4.3125,4.6875,4.375,4.9375,4.375,3.875,4.75,4.3125,4.125,4.5625,1.25,1.0,1.5625,1.8125,1.5,2.125,1.5,1.25,1.75,1.0,1.0,1.0,4.34375
olmo3-32b-base,mag5,16,1.5,1.25,1.75,4.1875,3.875,4.5,4.875,4.6875,5.0,4.5625,4.25,4.875,4.1875,4.0625,4.375,1.5,1.125,1.9375,2.0625,1.625,2.5,1.4375,1.125,1.8125,1.1875,1.0,1.4390624999999986,4.453125
olmo3-32b-instruct,dom-agi,16,1.3125,1.125,1.5,4.375,4.0,4.75,4.75,4.375,5.0,4.375,3.875,4.8125,4.0625,3.75,4.375,1.125,1.0,1.375,2.0,1.5625,2.4375,1.875,1.4375,2.25,1.0,1.0,1.0,4.390625
olmo3-32b-instruct,dom-tech,16,1.5,1.25,1.75,4.1875,3.875,4.5,4.875,4.6875,5.0,4.625,4.3125,4.875,3.875,3.5625,4.1875,1.25,1.0625,1.4375,2.0,1.6875,2.3125,1.875,1.5625,2.1875,1.0,1.0,1.0,4.390625
olmo3-32b-instruct,mag0,16,1.4375,1.125,1.8125,4.25,3.75,4.6875,4.625,4.125,5.0,4.3125,3.625,4.8125,3.8125,3.3125,4.25,1.1875,1.0,1.5,2.0625,1.75,2.375,2.125,1.6875,2.625,1.0,1.0,1.0,4.25
olmo3-32b-instruct,mag1,16,1.25,1.0625,1.5,4.6875,4.4375,4.875,5.0,5.0,5.0,4.8125,4.625,5.0,3.875,3.625,4.125,1.0,1.0,1.0,1.4375,1.1875,1.6875,2.125,2.0,2.3125,1.0,1.0,1.0,4.59375
olmo3-32b-instruct,mag25,16,1.3125,1.0625,1.5625,4.5,4.1875,4.8125,4.9375,4.8125,5.0,4.6875,4.375,4.9375,3.75,3.4375,4.0,1.0625,1.0,1.1875,1.6875,1.4375,2.0,1.9375,1.5625,2.3125,1.0,1.0,1.0,4.46875
olmo3-32b-instruct,mag5,16,1.3125,1.0625,1.625,4.625,4.1875,4.9375,4.8125,4.4375,5.0,4.6875,4.125,5.0,3.8125,3.5,4.0,1.1875,1.0,1.5,1.5,1.125,1.9390624999999986,1.875,1.5,2.3140624999999986,1.0,1.0,1.0,4.484375
olmo3-32b-think,dom-agi,13,2.0,1.6153846153846154,2.3846153846153846,2.076923076923077,1.4615384615384615,2.769230769230769,2.3076923076923075,1.4615384615384615,3.230769230769231,1.8461538461538463,1.2307692307692308,2.5384615384615383,3.1538461538461537,2.6153846153846154,3.6923076923076925,1.0769230769230769,1.0,1.2307692307692308,2.3846153846153846,2.0,2.8461538461538463,2.076923076923077,1.6153846153846154,2.5384615384615383,1.0769230769230769,1.0,1.2307692307692308,2.3461538461538463
olmo3-32b-think,dom-tech,13,1.6923076923076923,1.4615384615384615,1.9230769230769231,2.923076923076923,2.1538461538461537,3.6923076923076925,3.1538461538461537,2.3846153846153846,3.923076923076923,2.5384615384615383,1.8461538461538463,3.3076923076923075,3.4615384615384617,2.6153846153846154,4.15576923076923,1.7692307692307692,1.3076923076923077,2.230769230769231,2.3076923076923075,1.6153846153846154,2.924999999999998,2.076923076923077,1.5384615384615385,2.6153846153846154,1.1538461538461537,1.0,1.4615384615384615,3.019230769230769
olmo3-32b-think,mag0,8,2.375,1.625,3.125,2.25,1.625,3.0,2.875,2.25,3.5,2.125,1.625,2.625,3.25,2.375,4.125,1.125,1.0,1.375,2.25,1.5,3.128124999999997,3.125,2.625,3.625,1.0,1.0,1.0,2.625
olmo3-32b-think,mag1,9,2.2222222222222223,1.7777777777777777,2.5555555555555554,1.5555555555555556,1.1111111111111112,2.0,1.6666666666666667,1.1111111111111112,2.2222222222222223,1.2222222222222223,1.0,1.5555555555555556,2.4444444444444446,1.8888888888888888,3.111111111111111,1.2222222222222223,1.0,1.4444444444444444,2.3333333333333335,1.6666666666666667,3.0,2.5555555555555554,1.6666666666666667,3.4444444444444446,1.0,1.0,1.0,1.7222222222222223
olmo3-32b-think,mag25,15,1.8666666666666667,1.6,2.066666666666667,2.3333333333333335,1.7333333333333334,3.0,2.4,1.731666666666667,3.068333333333332,1.8666666666666667,1.2650000000000001,2.6,3.2,2.533333333333333,3.8666666666666667,1.2666666666666666,1.0,1.6,2.8,2.1333333333333333,3.3349999999999986,1.5333333333333334,1.2,1.9333333333333333,1.1333333333333333,1.0,1.4,2.45
olmo3-32b-think,mag5,13,1.8461538461538463,1.4615384615384615,2.1538461538461537,2.230769230769231,1.6153846153846154,2.923076923076923,2.5384615384615383,1.8442307692307693,3.3076923076923075,1.9230769230769231,1.3076923076923077,2.6923076923076925,2.6923076923076925,2.1538461538461537,3.3846153846153846,1.0769230769230769,1.0,1.2307692307692308,2.4615384615384617,1.7692307692307692,3.1538461538461537,1.9230769230769231,1.3846153846153846,2.5384615384615383,1.0,1.0,1.0,2.3461538461538463
qwen3.5-35b-a3b-base,dom-agi,16,2.5625,2.1875,3.0,3.4375,3.0,3.8125,4.4375,4.0625,4.75,4.0,3.4375,4.5,2.375,2.0,2.75,1.3125,1.125,1.5625,2.625,2.25,3.0,1.3125,1.125,1.5625,1.0,1.0,1.0,3.5625
qwen3.5-35b-a3b-base,dom-tech,16,2.3125,1.9375,2.75,3.1875,2.6875,3.6875,3.9375,3.25,4.5,3.5625,2.8109375,4.25,2.5625,2.125,3.0625,1.4375,1.1875,1.75,2.625,2.1875,3.0625,1.1875,1.0,1.375,1.0625,1.0,1.1875,3.3125
qwen3.5-35b-a3b-base,mag0,16,2.0,1.75,2.25,3.8125,3.4375,4.125,4.75,4.5,4.9375,4.3125,3.875,4.625,2.75,2.3125,3.1875,1.3125,1.0625,1.625,2.4375,2.0625,2.8125,1.25,1.0625,1.5,1.0,1.0,1.0,3.90625
qwen3.5-35b-a3b-base,mag1,16,2.8125,2.375,3.3125,2.25,1.8125,2.6875,2.75,2.25,3.25,1.8125,1.375,2.25,1.875,1.4375,2.3125,3.0625,2.5625,3.5,4.3125,3.875,4.6875,3.25,2.8125,3.625,1.0,1.0,1.0,2.171875
qwen3.5-35b-a3b-base,mag25,16,2.125,1.8125,2.5,3.5,2.9375,4.0,4.375,3.8125,4.8125,4.125,3.5,4.6875,2.6875,2.1875,3.125,1.125,1.0,1.3125,1.8125,1.375,2.25,1.25,1.0625,1.5,1.0,1.0,1.0,3.671875
qwen3.5-35b-a3b-base,mag5,16,3.5625,3.125,3.9375,2.25,1.875,2.6875,3.125,2.625,3.625,2.3125,1.75,2.875,1.9375,1.5625,2.3125,3.4375,3.0,3.8125,4.4375,3.9375,4.875,3.3125,2.9375,3.6875,1.1875,1.0,1.5625,2.40625
qwen3.5-35b-a3b-instruct,dom-agi,8,1.875,1.625,2.0,3.125,2.375,3.75,4.0,3.0,4.75,3.25,2.375,4.0,2.875,2.5,3.25,1.25,1.0,1.625,2.25,1.625,3.0,2.25,2.0,2.625,1.0,1.0,1.0,3.3125
qwen3.5-35b-a3b-instruct,dom-tech,12,2.5,2.0833333333333335,2.9166666666666665,2.75,2.0833333333333335,3.5,3.5833333333333335,2.8333333333333335,4.333333333333333,2.9166666666666665,2.25,3.5833333333333335,2.1666666666666665,1.5833333333333333,2.75,1.8333333333333333,1.4166666666666667,2.1666666666666665,3.1666666666666665,2.6666666666666665,3.5833333333333335,3.0833333333333335,2.5833333333333335,3.5833333333333335,1.0,1.0,1.0,2.8541666666666665
qwen3.5-35b-a3b-instruct,mag0,9,2.0,1.6666666666666667,2.3333333333333335,3.111111111111111,2.111111111111111,4.0,3.6666666666666665,2.4444444444444446,4.555555555555555,3.2222222222222223,2.2194444444444446,4.111111111111111,2.6666666666666665,2.111111111111111,3.2222222222222223,1.0,1.0,1.0,2.4444444444444446,2.111111111111111,2.888888888888889,2.111111111111111,1.6666666666666667,2.6666666666666665,1.0,1.0,1.0,3.1666666666666665
qwen3.5-35b-a3b-instruct,mag1,13,2.0,1.6923076923076923,2.3076923076923075,2.230769230769231,1.6153846153846154,2.923076923076923,2.3846153846153846,1.6923076923076923,3.1538461538461537,1.6923076923076923,1.0,2.4615384615384617,2.3076923076923075,1.7692307692307692,2.923076923076923,1.3846153846153846,1.1538461538461537,1.6923076923076923,3.3076923076923075,2.769230769230769,3.769230769230769,2.8461538461538463,2.1538461538461537,3.4615384615384617,1.0,1.0,1.0,2.1538461538461537
qwen3.5-35b-a3b-instruct,mag25,5,2.4,2.0,3.2,2.0,1.2,2.6,2.8,1.6,4.0,1.6,1.0,2.4,3.0,1.8,4.0,1.4,1.0,2.2,3.6,2.8,4.0,2.8,2.2,3.4,1.0,1.0,1.0,2.35
qwen3.5-35b-a3b-instruct,mag5,8,2.625,2.0,3.25,2.375,1.875,3.0,3.0,2.25,3.625,2.375,1.625,3.125,1.875,1.375,2.625,2.375,1.75,3.0,3.625,3.0,4.125,3.375,2.75,3.875,1.0,1.0,1.0,2.40625
z-ai/glm-5,dom-agi,16,3.0625,2.6875,3.5,2.6875,2.3125,3.125,3.625,3.1875,4.0,2.75,2.25,3.25,1.6875,1.375,2.0,1.75,1.375,2.1875,2.6875,2.1875,3.1875,4.0625,3.5625,4.5,1.125,1.0,1.3125,2.6875
z-ai/glm-5,dom-tech,16,2.5625,2.3125,2.8125,3.3125,3.0,3.625,4.375,4.0625,4.625,3.75,3.3125,4.1875,2.3125,2.0,2.5625,1.4375,1.125,1.8125,2.4375,2.125,2.875,3.75,3.25,4.1875,1.0625,1.0,1.1875,3.4375
z-ai/glm-5,mag0,16,2.75,2.3125,3.1875,2.9375,2.5,3.375,3.875,3.375,4.375,3.125,2.4375,3.8125,2.0,1.5625,2.4375,1.75,1.3125,2.1875,2.75,2.25,3.25,3.4375,2.8125,4.0625,1.0625,1.0,1.1875,2.984375
z-ai/glm-5,mag1,16,2.75,2.3125,3.25,2.5625,2.1875,2.9375,3.4375,3.0,3.8125,2.6875,2.1875,3.1265624999999986,2.0625,1.625,2.625,1.625,1.3125,2.0,2.75,2.375,3.125,3.875,3.375,4.25,1.0625,1.0,1.1875,2.6875
z-ai/glm-5,mag25,16,2.4375,2.125,2.75,3.3125,2.8125,3.8125,4.0625,3.625,4.5,3.1875,2.75,3.625,2.5625,2.125,3.0625,1.4375,1.125,1.75,2.5625,2.125,2.9375,3.4375,3.0,3.8125,1.0,1.0,1.0,3.28125
z-ai/glm-5,mag5,16,2.5625,2.1875,3.0,3.3125,2.9359375,3.6265624999999986,4.1875,3.625,4.625,3.5,3.0625,3.8125,2.25,1.8125,2.6875,1.4375,1.125,1.875,2.3125,1.9375,2.75,3.1875,2.625,3.8125,1.0,1.0,1.0,3.3125
