model_family,condition,n_full_nonseed_posts,n_judged,weighted_novelty,weighted_semantic_repetition,weighted_narrative_convergence,weighted_groupthink,weighted_specificity,weighted_evidence_grounding,weighted_epistemic_caution,weighted_template_rigidity,weighted_source_citation_quality,collapse_index
olmo3-32b-base,mag25,372,16,1.3125,4.0,4.6875,4.375,1.8125,1.25,1.5,4.3125,1.0,4.34375
olmo3-32b-base,mag5,389,16,1.5,4.1875,4.875,4.5625,2.0625,1.5,1.4375,4.1875,1.1875,4.453125
olmo3-32b-instruct,dom-agi,927,16,1.3125,4.375,4.75,4.375,2.0,1.125,1.875,4.0625,1.0,4.390625
olmo3-32b-instruct,dom-tech,772,16,1.5,4.1875,4.875,4.625,2.0,1.25,1.875,3.875,1.0,4.390625
olmo3-32b-instruct,mag0,1133,16,1.4375,4.25,4.625,4.3125,2.0625,1.1875,2.125,3.8125,1.0,4.25
olmo3-32b-instruct,mag1,969,16,1.25,4.6875,5.0,4.8125,1.4375,1.0,2.125,3.875,1.0,4.59375
olmo3-32b-instruct,mag25,939,16,1.3125,4.5,4.9375,4.6875,1.6875,1.0625,1.9375,3.75,1.0,4.46875
olmo3-32b-instruct,mag5,789,16,1.3125,4.625,4.8125,4.6875,1.5,1.1875,1.875,3.8125,1.0,4.484375
olmo3-32b-think,dom-agi,29,13,2.0,2.076923076923077,2.3076923076923075,1.8461538461538465,2.384615384615384,1.0769230769230769,2.076923076923077,3.1538461538461537,1.0769230769230769,2.3461538461538463
olmo3-32b-think,dom-tech,82,13,1.6923076923076923,2.923076923076923,3.1538461538461533,2.5384615384615383,2.3076923076923075,1.7692307692307692,2.076923076923077,3.4615384615384617,1.1538461538461535,3.019230769230769
olmo3-32b-think,mag0,29,8,2.375,2.25,2.875,2.125,2.25,1.125,3.125,3.25,1.0,2.625
olmo3-32b-think,mag1,23,9,2.2222222222222223,1.5555555555555556,1.6666666666666667,1.2222222222222223,2.3333333333333335,1.2222222222222223,2.5555555555555554,2.4444444444444446,1.0,1.7222222222222223
olmo3-32b-think,mag25,50,15,1.8666666666666665,2.3333333333333335,2.4,1.8666666666666665,2.8,1.2666666666666666,1.5333333333333334,3.2,1.1333333333333333,2.45
olmo3-32b-think,mag5,31,13,1.8461538461538465,2.230769230769231,2.5384615384615383,1.9230769230769231,2.4615384615384617,1.0769230769230769,1.9230769230769231,2.6923076923076925,1.0,2.3461538461538463
qwen3.5-35b-a3b-base,dom-agi,277,16,2.5625,3.4375,4.4375,4.0,2.625,1.3125,1.3125,2.375,1.0,3.5625
qwen3.5-35b-a3b-base,dom-tech,272,16,2.3125,3.1875,3.9375,3.5625,2.625,1.4375,1.1875,2.5625,1.0625,3.3125
qwen3.5-35b-a3b-base,mag0,211,16,2.0,3.8125,4.75,4.3125,2.4375,1.3125,1.25,2.75,1.0,3.90625
qwen3.5-35b-a3b-base,mag1,249,16,2.8125,2.25,2.75,1.8125,4.3125,3.0625,3.25,1.875,1.0,2.171875
qwen3.5-35b-a3b-base,mag25,270,16,2.125,3.5,4.375,4.125,1.8125,1.125,1.25,2.6875,1.0,3.671875
qwen3.5-35b-a3b-base,mag5,154,16,3.5625,2.25,3.125,2.3125,4.4375,3.4375,3.3125,1.9375,1.1875,2.40625
qwen3.5-35b-a3b-instruct,dom-agi,40,8,1.875,3.125,4.0,3.25,2.25,1.25,2.25,2.875,1.0,3.3125
qwen3.5-35b-a3b-instruct,dom-tech,32,12,2.5,2.75,3.5833333333333335,2.9166666666666665,3.1666666666666665,1.8333333333333333,3.0833333333333335,2.1666666666666665,1.0,2.8541666666666665
qwen3.5-35b-a3b-instruct,mag0,51,9,2.0,3.1111111111111107,3.6666666666666665,3.2222222222222223,2.4444444444444446,1.0,2.111111111111111,2.6666666666666665,1.0,3.1666666666666665
qwen3.5-35b-a3b-instruct,mag1,26,13,2.0,2.230769230769231,2.3846153846153846,1.6923076923076923,3.3076923076923075,1.3846153846153846,2.8461538461538463,2.3076923076923075,1.0,2.1538461538461537
qwen3.5-35b-a3b-instruct,mag25,21,5,2.4,2.0,2.8,1.6,3.6000000000000005,1.4,2.8,3.0,1.0,2.35
qwen3.5-35b-a3b-instruct,mag5,26,8,2.625,2.375,3.0,2.375,3.625,2.375,3.375,1.875,1.0,2.40625
z-ai/glm-5,dom-agi,662,32,3.023130664652568,2.641238670694864,3.611216012084592,2.798716012084592,2.80315332326284,1.773130664652568,4.006891993957704,1.9699773413897281,1.046261329305136,2.7552870090634443
z-ai/glm-5,dom-tech,506,32,2.59375,3.1875,4.1875,3.46875,2.59375,1.59375,3.65625,2.15625,1.03125,3.25
z-ai/glm-5,mag0,634,32,2.9375,2.8125,3.65625,2.96875,3.0,1.90625,3.21875,2.0,1.09375,2.859375
z-ai/glm-5,mag1,532,32,2.6875,2.6875,3.78125,2.875,2.5,1.34375,3.625,2.21875,1.0,2.890625
z-ai/glm-5,mag25,502,32,2.5,3.25,3.90625,3.1875,2.53125,1.40625,3.4375,2.5,1.03125,3.2109375
z-ai/glm-5,mag5,456,32,2.625,3.21875,4.125,3.53125,2.59375,1.4375,3.3125,2.25,1.125,3.28125
