group,model_family,condition,scale,novelty_mean,novelty_std,novelty_count,semantic_repetition_mean,semantic_repetition_std,semantic_repetition_count,narrative_convergence_mean,narrative_convergence_std,narrative_convergence_count,groupthink_mean,groupthink_std,groupthink_count,specificity_mean,specificity_std,specificity_count,evidence_grounding_mean,evidence_grounding_std,evidence_grounding_count,epistemic_caution_mean,epistemic_caution_std,epistemic_caution_count,template_rigidity_mean,template_rigidity_std,template_rigidity_count,source_citation_quality_mean,source_citation_quality_std,source_citation_quality_count
base-model,qwen3.5-35b-a3b-instruct,mag25,n10,2.4,0.8944271909999159,5,2.0,1.0,5,2.8,1.6431676725154984,5,1.6,0.8944271909999159,5,3.6,0.8944271909999159,5,1.4,0.8944271909999159,5,2.8,0.8366600265340756,5,3.0,1.4142135623730951,5,1.0,0.0,5
base-model,qwen3.5-35b-a3b-instruct,mag5,n10,2.625,0.9161253813129043,8,2.375,0.9161253813129043,8,3.0,1.0690449676496976,8,2.375,1.1877349391654208,8,3.625,0.9161253813129043,8,2.375,1.0606601717798212,8,3.375,0.9161253813129042,8,1.875,0.9910312089651149,8,1.0,0.0,8
canonical-48,gemini-flash-lite,dom-agi,n10,1.875,0.3415650255319866,16,4.0,0.5163977794943223,16,4.875,0.3415650255319866,16,4.25,0.8563488385776752,16,2.0,0.3651483716701107,16,1.0625,0.24999999999999997,16,1.75,0.8563488385776754,16,2.3125,0.47871355387816894,16,1.0,0.0,16
canonical-48,gemini-flash-lite,dom-agi,n20,1.75,0.5773502691896257,16,4.125,0.806225774829855,16,4.875,0.5000000000000001,16,4.375,0.8062257748298552,16,2.4375,0.7274384280931733,16,1.25,0.44721359549995787,16,1.9375,0.9979144919948469,16,2.8125,1.046820583162814,16,1.0,0.0,16
canonical-48,gemini-flash-lite,dom-tech,n10,1.5,0.6324555320336759,16,4.375,0.806225774829855,16,4.875,0.3415650255319866,16,4.5,0.7302967433402214,16,2.0625,0.7719024117939607,16,1.1875,0.4031128874149274,16,1.625,0.7187952884282609,16,3.0,0.8944271909999159,16,1.0,0.0,16
canonical-48,gemini-flash-lite,mag25,n30,1.8125,0.40311288741492746,16,4.1875,0.40311288741492746,16,5.0,0.0,16,4.5625,0.5123475382979799,16,2.25,0.447213595499958,16,1.1875,0.4031128874149275,16,1.625,0.5,16,2.6875,0.704154339142587,16,1.0,0.0,16
canonical-48,gemini-flash-lite,mag5,n20,1.75,0.6831300510639732,16,4.0625,0.8539125638299665,16,4.6875,0.6020797289396148,16,4.0,1.0327955589886444,16,2.375,0.5,16,1.1875,0.4031128874149275,16,1.75,0.9999999999999999,16,2.6875,0.9464847243000455,16,1.0,0.0,16
canonical-48,gemini-flash-lite,mag5,n30,1.9375,0.4425306015783918,16,3.8125,0.6551081335677849,16,4.6875,0.6020797289396148,16,3.75,1.064581294844754,16,2.625,0.806225774829855,16,1.375,0.49999999999999994,16,1.5625,0.6291528696058959,16,2.4375,0.7274384280931732,16,1.0,0.0,16
canonical-48,google/gemini-3.1-flash-lite-preview,dom-agi,n30,1.4375,0.727438428093173,16,4.375,1.2041594578792296,16,4.6875,0.7932002689527194,16,4.4375,1.152894907034751,16,1.9375,0.8539125638299665,16,1.1875,0.5439056290693572,16,1.25,0.447213595499958,16,3.875,1.02469507659596,16,1.0,0.0,16
canonical-48,google/gemini-3.1-flash-lite-preview,dom-tech,n20,1.125,0.34156502553198664,16,4.875,0.3415650255319866,16,5.0,0.0,16,4.9375,0.25,16,1.3125,0.47871355387816905,16,1.0,0.0,16,1.1875,0.4031128874149274,16,4.0625,0.680073525436772,16,1.0,0.0,16
